region,category,parameter,mode,powertrain,year,unit,value
Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,26.0
Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,220.0
Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,400.0
Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,800.0
Brazil,Historical,EV charging points,EV,Publicly available slow,2022,charging points,3000.0
Brazil,Historical,EV charging points,EV,Publicly available slow,2023,charging points,3800.0
Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.90000009536743
Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4.90000009536743
Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4.90000009536743
Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4.90000009536743
Brazil,Historical,EV charging points,EV,Publicly available fast,2022,charging points,4.90000009536743
Brazil,Historical,EV charging points,EV,Publicly available fast,2023,charging points,4.90000009536743
