region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000.0
China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000.0
China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000.0
China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000.0
China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000.0
China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000.0
China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,charging points,500000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,500000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2021,charging points,680000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,charging points,680000.0
China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000.0
China,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1000000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,charging points,1000000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2022,charging points,1000000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2023,charging points,1500000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2023,charging points,1500000.0
China,Historical,EV charging points,EV,Publicly available slow,2023,charging points,1500000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,charging points,2600000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2025,charging points,2600000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2030,charging points,5700000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,charging points,5800000.0
China,Projection-STEPS,EV charging points,EV,Publicly available slow,2035,charging points,8400000.0
China,Projection-APS,EV charging points,EV,Publicly available slow,2035,charging points,8200000.0
China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000.0
China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000.0
China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000.0
China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000.0
China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000.0
China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000.0
China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,charging points,310000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,310000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2021,charging points,470000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,charging points,470000.0
China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000.0
China,Historical,EV charging points,EV,Publicly available fast,2022,charging points,760000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,charging points,760000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2022,charging points,760000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2023,charging points,1200000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2023,charging points,1200000.0
China,Historical,EV charging points,EV,Publicly available fast,2023,charging points,1200000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,charging points,2100000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2025,charging points,2100000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2030,charging points,5100000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,charging points,5200000.0
China,Projection-STEPS,EV charging points,EV,Publicly available fast,2035,charging points,7500000.0
China,Projection-APS,EV charging points,EV,Publicly available fast,2035,charging points,7300000.0
