region,category,parameter,mode,powertrain,year,unit,value
EU27,Historical,EV charging points,EV,Publicly available slow,2010,charging points,7300.0
EU27,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1500.0
EU27,Historical,EV charging points,EV,Publicly available slow,2012,charging points,8900.0
EU27,Historical,EV charging points,EV,Publicly available slow,2013,charging points,15000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2014,charging points,23000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2015,charging points,42000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2016,charging points,72000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2017,charging points,81000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2018,charging points,98000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2019,charging points,140000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2020,charging points,180000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2021,charging points,260000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2022,charging points,380000.0
EU27,Historical,EV charging points,EV,Publicly available slow,2023,charging points,510000.0
EU27,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6.09999990463257
EU27,Historical,EV charging points,EV,Publicly available fast,2012,charging points,59.0
EU27,Historical,EV charging points,EV,Publicly available fast,2013,charging points,400.0
EU27,Historical,EV charging points,EV,Publicly available fast,2014,charging points,690.0
EU27,Historical,EV charging points,EV,Publicly available fast,2015,charging points,2100.0
EU27,Historical,EV charging points,EV,Publicly available fast,2016,charging points,3100.0
EU27,Historical,EV charging points,EV,Publicly available fast,2017,charging points,5600.0
EU27,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8600.0
EU27,Historical,EV charging points,EV,Publicly available fast,2019,charging points,12000.0
EU27,Historical,EV charging points,EV,Publicly available fast,2020,charging points,19000.0
EU27,Historical,EV charging points,EV,Publicly available fast,2021,charging points,29000.0
EU27,Historical,EV charging points,EV,Publicly available fast,2022,charging points,49000.0
EU27,Historical,EV charging points,EV,Publicly available fast,2023,charging points,82000.0
