region,category,parameter,mode,powertrain,year,unit,value
Germany,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1500.0
Germany,Historical,EV charging points,EV,Publicly available slow,2013,charging points,2400.0
Germany,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2600.0
Germany,Historical,EV charging points,EV,Publicly available slow,2015,charging points,4600.0
Germany,Historical,EV charging points,EV,Publicly available slow,2016,charging points,5800.0
Germany,Historical,EV charging points,EV,Publicly available slow,2017,charging points,9400.0
Germany,Historical,EV charging points,EV,Publicly available slow,2018,charging points,17000.0
Germany,Historical,EV charging points,EV,Publicly available slow,2019,charging points,26000.0
Germany,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000.0
Germany,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000.0
Germany,Historical,EV charging points,EV,Publicly available slow,2022,charging points,71000.0
Germany,Historical,EV charging points,EV,Publicly available slow,2023,charging points,87000.0
Germany,Historical,EV charging points,EV,Publicly available fast,2012,charging points,18.0
Germany,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47.0
Germany,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120.0
Germany,Historical,EV charging points,EV,Publicly available fast,2015,charging points,470.0
Germany,Historical,EV charging points,EV,Publicly available fast,2016,charging points,630.0
Germany,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1400.0
Germany,Historical,EV charging points,EV,Publicly available fast,2018,charging points,2500.0
Germany,Historical,EV charging points,EV,Publicly available fast,2019,charging points,3900.0
Germany,Historical,EV charging points,EV,Publicly available fast,2020,charging points,6200.0
Germany,Historical,EV charging points,EV,Publicly available fast,2021,charging points,9300.0
Germany,Historical,EV charging points,EV,Publicly available fast,2022,charging points,15000.0
Germany,Historical,EV charging points,EV,Publicly available fast,2023,charging points,21000.0
