region,category,parameter,mode,powertrain,year,unit,value
Israel,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2500.0
Israel,Historical,EV charging points,EV,Publicly available slow,2023,charging points,4200.0
Israel,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2021,charging points,0.100000001490116
Israel,Historical,EV charging points,EV,Publicly available fast,2022,charging points,270.0
Israel,Historical,EV charging points,EV,Publicly available fast,2023,charging points,710.0
