region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV charging points,EV,Publicly available slow,2010,charging points,2800.0
Norway,Historical,EV charging points,EV,Publicly available slow,2011,charging points,3100.0
Norway,Historical,EV charging points,EV,Publicly available slow,2012,charging points,3700.0
Norway,Historical,EV charging points,EV,Publicly available slow,2013,charging points,4500.0
Norway,Historical,EV charging points,EV,Publicly available slow,2014,charging points,5200.0
Norway,Historical,EV charging points,EV,Publicly available slow,2015,charging points,5200.0
Norway,Historical,EV charging points,EV,Publicly available slow,2016,charging points,7000.0
Norway,Historical,EV charging points,EV,Publicly available slow,2017,charging points,8300.0
Norway,Historical,EV charging points,EV,Publicly available slow,2018,charging points,9300.0
Norway,Historical,EV charging points,EV,Publicly available slow,2019,charging points,10000.0
Norway,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000.0
Norway,Historical,EV charging points,EV,Publicly available slow,2021,charging points,13000.0
Norway,Historical,EV charging points,EV,Publicly available slow,2022,charging points,15000.0
Norway,Historical,EV charging points,EV,Publicly available slow,2023,charging points,16000.0
Norway,Historical,EV charging points,EV,Publicly available fast,2011,charging points,18.0
Norway,Historical,EV charging points,EV,Publicly available fast,2012,charging points,58.0
Norway,Historical,EV charging points,EV,Publicly available fast,2013,charging points,96.0
Norway,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110.0
Norway,Historical,EV charging points,EV,Publicly available fast,2015,charging points,330.0
Norway,Historical,EV charging points,EV,Publicly available fast,2016,charging points,500.0
Norway,Historical,EV charging points,EV,Publicly available fast,2017,charging points,920.0
Norway,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1200.0
Norway,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4000.0
Norway,Historical,EV charging points,EV,Publicly available fast,2020,charging points,5300.0
Norway,Historical,EV charging points,EV,Publicly available fast,2021,charging points,6700.0
Norway,Historical,EV charging points,EV,Publicly available fast,2022,charging points,9100.0
Norway,Historical,EV charging points,EV,Publicly available fast,2023,charging points,11000.0
