region,category,parameter,mode,powertrain,year,unit,value
Spain,Historical,EV charging points,EV,Publicly available slow,2012,charging points,400.0
Spain,Historical,EV charging points,EV,Publicly available slow,2013,charging points,800.0
Spain,Historical,EV charging points,EV,Publicly available slow,2014,charging points,800.0
Spain,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1400.0
Spain,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3300.0
Spain,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4300.0
Spain,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4400.0
Spain,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500.0
Spain,Historical,EV charging points,EV,Publicly available slow,2020,charging points,6000.0
Spain,Historical,EV charging points,EV,Publicly available slow,2021,charging points,5600.0
Spain,Historical,EV charging points,EV,Publicly available slow,2022,charging points,10000.0
Spain,Historical,EV charging points,EV,Publicly available slow,2023,charging points,19000.0
Spain,Historical,EV charging points,EV,Publicly available fast,2013,charging points,91.0
Spain,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110.0
Spain,Historical,EV charging points,EV,Publicly available fast,2015,charging points,240.0
Spain,Historical,EV charging points,EV,Publicly available fast,2016,charging points,230.0
Spain,Historical,EV charging points,EV,Publicly available fast,2017,charging points,600.0
Spain,Historical,EV charging points,EV,Publicly available fast,2018,charging points,620.0
Spain,Historical,EV charging points,EV,Publicly available fast,2019,charging points,1000.0
Spain,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2100.0
Spain,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2600.0
Spain,Historical,EV charging points,EV,Publicly available fast,2022,charging points,2200.0
Spain,Historical,EV charging points,EV,Publicly available fast,2023,charging points,6600.0
