region,category,parameter,mode,powertrain,year,unit,value
World,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3700.0
World,Historical,EV charging points,EV,Publicly available slow,2011,charging points,10000.0
World,Historical,EV charging points,EV,Publicly available slow,2012,charging points,28000.0
World,Historical,EV charging points,EV,Publicly available slow,2013,charging points,41000.0
World,Historical,EV charging points,EV,Publicly available slow,2014,charging points,89000.0
World,Historical,EV charging points,EV,Publicly available slow,2015,charging points,150000.0
World,Historical,EV charging points,EV,Publicly available slow,2016,charging points,240000.0
World,Historical,EV charging points,EV,Publicly available slow,2017,charging points,310000.0
World,Historical,EV charging points,EV,Publicly available slow,2018,charging points,390000.0
World,Historical,EV charging points,EV,Publicly available slow,2019,charging points,600000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,charging points,870000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,870000.0
World,Historical,EV charging points,EV,Publicly available slow,2020,charging points,870000.0
World,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1200000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2021,charging points,1200000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,charging points,1200000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2022,charging points,1800000.0
World,Historical,EV charging points,EV,Publicly available slow,2022,charging points,1800000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,charging points,1800000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2023,charging points,2500000.0
World,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2500000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2023,charging points,2500000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,charging points,4300000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2025,charging points,4300000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2030,charging points,9800000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,charging points,9100000.0
World,Projection-STEPS,EV charging points,EV,Publicly available slow,2035,charging points,14000000.0
World,Projection-APS,EV charging points,EV,Publicly available slow,2035,charging points,15000000.0
World,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310.0
World,Historical,EV charging points,EV,Publicly available fast,2011,charging points,830.0
World,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1500.0
World,Historical,EV charging points,EV,Publicly available fast,2013,charging points,2600.0
World,Historical,EV charging points,EV,Publicly available fast,2014,charging points,13000.0
World,Historical,EV charging points,EV,Publicly available fast,2015,charging points,25000.0
World,Historical,EV charging points,EV,Publicly available fast,2016,charging points,72000.0
World,Historical,EV charging points,EV,Publicly available fast,2017,charging points,110000.0
World,Historical,EV charging points,EV,Publicly available fast,2018,charging points,140000.0
World,Historical,EV charging points,EV,Publicly available fast,2019,charging points,260000.0
World,Historical,EV charging points,EV,Publicly available fast,2020,charging points,380000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,charging points,380000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,380000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2021,charging points,560000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,charging points,560000.0
World,Historical,EV charging points,EV,Publicly available fast,2021,charging points,560000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2022,charging points,900000.0
World,Historical,EV charging points,EV,Publicly available fast,2022,charging points,900000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,charging points,900000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2023,charging points,1400000.0
World,Historical,EV charging points,EV,Publicly available fast,2023,charging points,1400000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2023,charging points,1400000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,charging points,2500000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2025,charging points,2700000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2030,charging points,6300000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,charging points,6200000.0
World,Projection-STEPS,EV charging points,EV,Publicly available fast,2035,charging points,9200000.0
World,Projection-APS,EV charging points,EV,Publicly available fast,2035,charging points,9400000.0
