region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768372
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384186
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628
Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463257
Australia,Historical,EV sales share,Cars,EV,2023,percent,12.0
