region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales share,Cars,EV,2010,percent,0.009999999776483
Belgium,Historical,EV sales share,Vans,EV,2010,percent,0.013000000268221
Belgium,Historical,EV sales share,Trucks,EV,2011,percent,0.009800000116229
Belgium,Historical,EV sales share,Vans,EV,2011,percent,0.039000000804663
Belgium,Historical,EV sales share,Cars,EV,2011,percent,0.052000001072884
Belgium,Historical,EV sales share,Cars,EV,2012,percent,0.189999997615814
Belgium,Historical,EV sales share,Vans,EV,2012,percent,0.46000000834465
Belgium,Historical,EV sales share,Vans,EV,2013,percent,0.189999997615814
Belgium,Historical,EV sales share,Cars,EV,2013,percent,0.119999997317791
Belgium,Historical,EV sales share,Cars,EV,2014,percent,0.409999996423721
Belgium,Historical,EV sales share,Vans,EV,2014,percent,0.180000007152557
Belgium,Historical,EV sales share,Buses,EV,2014,percent,0.259999990463257
Belgium,Historical,EV sales share,Trucks,EV,2014,percent,0.013000000268221
Belgium,Historical,EV sales share,Vans,EV,2015,percent,0.109999999403954
Belgium,Historical,EV sales share,Cars,EV,2015,percent,0.769999980926514
Belgium,Historical,EV sales share,Cars,EV,2016,percent,1.70000004768372
Belgium,Historical,EV sales share,Vans,EV,2016,percent,0.209999993443489
Belgium,Historical,EV sales share,Trucks,EV,2016,percent,0.009999999776483
Belgium,Historical,EV sales share,Vans,EV,2017,percent,0.170000001788139
Belgium,Historical,EV sales share,Buses,EV,2017,percent,0.230000004172325
Belgium,Historical,EV sales share,Cars,EV,2017,percent,2.59999990463257
Belgium,Historical,EV sales share,Cars,EV,2018,percent,2.40000009536743
Belgium,Historical,EV sales share,Buses,EV,2018,percent,1.39999997615814
Belgium,Historical,EV sales share,Vans,EV,2018,percent,0.340000003576279
Belgium,Historical,EV sales share,Trucks,EV,2018,percent,0.008799999952316
Belgium,Historical,EV sales share,Vans,EV,2019,percent,0.490000009536743
Belgium,Historical,EV sales share,Buses,EV,2019,percent,3.70000004768372
Belgium,Historical,EV sales share,Cars,EV,2019,percent,3.20000004768372
Belgium,Historical,EV sales share,Cars,EV,2020,percent,11.0
Belgium,Historical,EV sales share,Buses,EV,2020,percent,7.0
Belgium,Historical,EV sales share,Vans,EV,2020,percent,0.699999988079071
Belgium,Historical,EV sales share,Trucks,EV,2020,percent,0.079000003635883
Belgium,Historical,EV sales share,Trucks,EV,2021,percent,0.059999998658896
Belgium,Historical,EV sales share,Vans,EV,2021,percent,0.879999995231628
Belgium,Historical,EV sales share,Buses,EV,2021,percent,26.0
Belgium,Historical,EV sales share,Cars,EV,2021,percent,18.0
Belgium,Historical,EV sales share,Cars,EV,2022,percent,26.0
Belgium,Historical,EV sales share,Buses,EV,2022,percent,11.0
Belgium,Historical,EV sales share,Vans,EV,2022,percent,3.40000009536743
Belgium,Historical,EV sales share,Trucks,EV,2022,percent,0.360000014305115
Belgium,Historical,EV sales share,Trucks,EV,2023,percent,1.70000004768372
Belgium,Historical,EV sales share,Vans,EV,2023,percent,4.59999990463257
Belgium,Historical,EV sales share,Buses,EV,2023,percent,62.0
Belgium,Historical,EV sales share,Cars,EV,2023,percent,41.0
