region,category,parameter,mode,powertrain,year,unit,value
Canada,Historical,EV sales share,Trucks,EV,2010,percent,0.00109999999404
Canada,Historical,EV sales share,Cars,EV,2011,percent,0.041000001132488
Canada,Historical,EV sales share,Trucks,EV,2011,percent,0.00179999996908
Canada,Historical,EV sales share,Trucks,EV,2012,percent,0.002700000070035
Canada,Historical,EV sales share,Cars,EV,2012,percent,0.140000000596046
Canada,Historical,EV sales share,Cars,EV,2013,percent,0.219999998807907
Canada,Historical,EV sales share,Trucks,EV,2013,percent,0.007400000002235
Canada,Historical,EV sales share,Trucks,EV,2014,percent,0.004900000058115
Canada,Historical,EV sales share,Cars,EV,2014,percent,0.349999994039536
Canada,Historical,EV sales share,Cars,EV,2015,percent,0.449999988079071
Canada,Historical,EV sales share,Vans,EV,2015,percent,0.002400000113994
Canada,Historical,EV sales share,Trucks,EV,2015,percent,0.007499999832362
Canada,Historical,EV sales share,Buses,EV,2016,percent,0.119999997317791
Canada,Historical,EV sales share,Cars,EV,2016,percent,0.759999990463257
Canada,Historical,EV sales share,Cars,EV,2017,percent,1.0
Canada,Historical,EV sales share,Buses,EV,2017,percent,0.25
Canada,Historical,EV sales share,Buses,EV,2018,percent,0.439999997615814
Canada,Historical,EV sales share,Cars,EV,2018,percent,2.79999995231628
Canada,Historical,EV sales share,Trucks,EV,2018,percent,0.005599999800324
Canada,Historical,EV sales share,Cars,EV,2019,percent,3.40000009536743
Canada,Historical,EV sales share,Buses,EV,2019,percent,1.20000004768372
Canada,Historical,EV sales share,Buses,EV,2020,percent,2.29999995231628
Canada,Historical,EV sales share,Cars,EV,2020,percent,4.19999980926514
Canada,Historical,EV sales share,Vans,EV,2020,percent,1.39999997615814
Canada,Historical,EV sales share,Vans,EV,2021,percent,1.79999995231628
Canada,Historical,EV sales share,Cars,EV,2021,percent,6.40000009536743
Canada,Historical,EV sales share,Buses,EV,2021,percent,6.0
Canada,Historical,EV sales share,Trucks,EV,2021,percent,0.020999999716878
Canada,Historical,EV sales share,Trucks,EV,2022,percent,0.600000023841858
Canada,Historical,EV sales share,Buses,EV,2022,percent,6.09999990463257
Canada,Historical,EV sales share,Cars,EV,2022,percent,9.5
Canada,Historical,EV sales share,Vans,EV,2022,percent,5.09999990463257
Canada,Historical,EV sales share,Vans,EV,2023,percent,5.5
Canada,Historical,EV sales share,Cars,EV,2023,percent,13.0
Canada,Historical,EV sales share,Buses,EV,2023,percent,23.0
Canada,Historical,EV sales share,Trucks,EV,2023,percent,1.29999995231628
