region,category,parameter,mode,powertrain,year,unit,value
Chile,Historical,EV sales share,Cars,EV,2011,percent,0.002400000113994
Chile,Historical,EV sales share,Cars,EV,2012,percent,0.002000000094995
Chile,Historical,EV sales share,Cars,EV,2013,percent,0.001900000032038
Chile,Historical,EV sales share,Cars,EV,2014,percent,0.007100000046194
Chile,Historical,EV sales share,Cars,EV,2015,percent,0.017000000923872
Chile,Historical,EV sales share,Cars,EV,2016,percent,0.013000000268221
Chile,Historical,EV sales share,Cars,EV,2017,percent,0.061000000685454
Chile,Historical,EV sales share,Cars,EV,2018,percent,0.070000000298023
Chile,Historical,EV sales share,Cars,EV,2019,percent,0.140000000596046
Chile,Historical,EV sales share,Cars,EV,2020,percent,0.159999996423721
Chile,Historical,EV sales share,Cars,EV,2021,percent,0.189999997615814
Chile,Historical,EV sales share,Cars,EV,2022,percent,0.5
Chile,Historical,EV sales share,Cars,EV,2023,percent,0.310000002384186
