region,category,parameter,mode,powertrain,year,unit,value
EU27,Historical,EV sales share,Buses,EV,2010,percent,0.400000005960465
EU27,Historical,EV sales share,Vans,EV,2010,percent,0.100000001490116
EU27,Historical,EV sales share,Cars,EV,2010,percent,0.009999999776483
EU27,Historical,EV sales share,Trucks,EV,2010,percent,0.012000000104308
EU27,Historical,EV sales share,Cars,EV,2011,percent,0.064999997615814
EU27,Historical,EV sales share,Vans,EV,2011,percent,0.170000001788139
EU27,Historical,EV sales share,Trucks,EV,2011,percent,0.00400000018999
EU27,Historical,EV sales share,Buses,EV,2011,percent,0.109999999403954
EU27,Historical,EV sales share,Buses,EV,2012,percent,0.150000005960464
EU27,Historical,EV sales share,Trucks,EV,2012,percent,0.003899999894202
EU27,Historical,EV sales share,Vans,EV,2012,percent,0.579999983310699
EU27,Historical,EV sales share,Cars,EV,2012,percent,0.189999997615814
EU27,Historical,EV sales share,Cars,EV,2013,percent,0.469999998807907
EU27,Historical,EV sales share,Vans,EV,2013,percent,0.620000004768372
EU27,Historical,EV sales share,Trucks,EV,2013,percent,0.006200000178069
EU27,Historical,EV sales share,Buses,EV,2013,percent,0.219999998807907
EU27,Historical,EV sales share,Buses,EV,2014,percent,0.699999988079071
EU27,Historical,EV sales share,Trucks,EV,2014,percent,0.013000000268221
EU27,Historical,EV sales share,Vans,EV,2014,percent,0.589999973773956
EU27,Historical,EV sales share,Cars,EV,2014,percent,0.560000002384186
EU27,Historical,EV sales share,Cars,EV,2015,percent,1.10000002384186
EU27,Historical,EV sales share,Vans,EV,2015,percent,0.649999976158142
EU27,Historical,EV sales share,Trucks,EV,2015,percent,0.006200000178069
EU27,Historical,EV sales share,Buses,EV,2015,percent,0.389999985694885
EU27,Historical,EV sales share,Buses,EV,2016,percent,1.70000004768372
EU27,Historical,EV sales share,Trucks,EV,2016,percent,0.017000000923872
EU27,Historical,EV sales share,Vans,EV,2016,percent,0.75
EU27,Historical,EV sales share,Cars,EV,2016,percent,0.980000019073486
EU27,Historical,EV sales share,Cars,EV,2017,percent,1.29999995231628
EU27,Historical,EV sales share,Vans,EV,2017,percent,0.939999997615814
EU27,Historical,EV sales share,Trucks,EV,2017,percent,0.014000000432134
EU27,Historical,EV sales share,Buses,EV,2017,percent,0.939999997615814
EU27,Historical,EV sales share,Buses,EV,2018,percent,1.70000004768372
EU27,Historical,EV sales share,Trucks,EV,2018,percent,0.109999999403954
EU27,Historical,EV sales share,Vans,EV,2018,percent,1.29999995231628
EU27,Historical,EV sales share,Cars,EV,2018,percent,1.89999997615814
EU27,Historical,EV sales share,Cars,EV,2019,percent,2.90000009536743
EU27,Historical,EV sales share,Vans,EV,2019,percent,1.5
EU27,Historical,EV sales share,Trucks,EV,2019,percent,0.230000004172325
EU27,Historical,EV sales share,Buses,EV,2019,percent,4.0
EU27,Historical,EV sales share,Buses,EV,2020,percent,6.30000019073486
EU27,Historical,EV sales share,Trucks,EV,2020,percent,0.389999985694885
EU27,Historical,EV sales share,Vans,EV,2020,percent,2.20000004768372
EU27,Historical,EV sales share,Cars,EV,2020,percent,10.0
EU27,Historical,EV sales share,Cars,EV,2021,percent,17.0
EU27,Historical,EV sales share,Vans,EV,2021,percent,3.0
EU27,Historical,EV sales share,Buses,EV,2021,percent,10.0
EU27,Historical,EV sales share,Trucks,EV,2021,percent,0.479999989271164
EU27,Historical,EV sales share,Trucks,EV,2022,percent,0.810000002384186
EU27,Historical,EV sales share,Buses,EV,2022,percent,12.0
EU27,Historical,EV sales share,Vans,EV,2022,percent,5.09999990463257
EU27,Historical,EV sales share,Cars,EV,2022,percent,21.0
EU27,Historical,EV sales share,Cars,EV,2023,percent,22.0
EU27,Historical,EV sales share,Vans,EV,2023,percent,7.59999990463257
EU27,Historical,EV sales share,Buses,EV,2023,percent,15.0
EU27,Historical,EV sales share,Trucks,EV,2023,percent,2.29999995231628
