region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,EV sales share,Vans,EV,2010,percent,0.08500000089407
Europe,Historical,EV sales share,Buses,EV,2010,percent,0.189999997615814
Europe,Historical,EV sales share,Cars,EV,2010,percent,0.012000000104308
Europe,Historical,EV sales share,Trucks,EV,2010,percent,0.008600000292063
Europe,Historical,EV sales share,Trucks,EV,2011,percent,0.003500000108033
Europe,Historical,EV sales share,Cars,EV,2011,percent,0.074000000953674
Europe,Historical,EV sales share,Buses,EV,2011,percent,0.050000000745058
Europe,Historical,EV sales share,Vans,EV,2011,percent,0.129999995231628
Europe,Historical,EV sales share,Vans,EV,2012,percent,0.430000007152557
Europe,Historical,EV sales share,Buses,EV,2012,percent,0.086999997496605
Europe,Historical,EV sales share,Cars,EV,2012,percent,0.200000002980232
Europe,Historical,EV sales share,Trucks,EV,2012,percent,0.003800000064075
Europe,Historical,EV sales share,Trucks,EV,2013,percent,0.005299999844283
Europe,Historical,EV sales share,Cars,EV,2013,percent,0.419999986886978
Europe,Historical,EV sales share,Buses,EV,2013,percent,0.140000000596046
Europe,Historical,EV sales share,Vans,EV,2013,percent,0.449999988079071
Europe,Historical,EV sales share,Vans,EV,2014,percent,0.479999989271164
Europe,Historical,EV sales share,Buses,EV,2014,percent,0.360000014305115
Europe,Historical,EV sales share,Cars,EV,2014,percent,0.660000026226044
Europe,Historical,EV sales share,Trucks,EV,2014,percent,0.009999999776483
Europe,Historical,EV sales share,Trucks,EV,2015,percent,0.006099999882281
Europe,Historical,EV sales share,Cars,EV,2015,percent,1.20000004768372
Europe,Historical,EV sales share,Buses,EV,2015,percent,0.170000001788139
Europe,Historical,EV sales share,Vans,EV,2015,percent,0.519999980926514
Europe,Historical,EV sales share,Vans,EV,2016,percent,0.589999973773956
Europe,Historical,EV sales share,Buses,EV,2016,percent,0.920000016689301
Europe,Historical,EV sales share,Cars,EV,2016,percent,1.20000004768372
Europe,Historical,EV sales share,Trucks,EV,2016,percent,0.012000000104308
Europe,Historical,EV sales share,Trucks,EV,2017,percent,0.009899999946356
Europe,Historical,EV sales share,Cars,EV,2017,percent,1.70000004768372
Europe,Historical,EV sales share,Buses,EV,2017,percent,0.569999992847443
Europe,Historical,EV sales share,Vans,EV,2017,percent,0.740000009536743
Europe,Historical,EV sales share,Vans,EV,2018,percent,1.10000002384186
Europe,Historical,EV sales share,Buses,EV,2018,percent,1.10000002384186
Europe,Historical,EV sales share,Cars,EV,2018,percent,2.29999995231628
Europe,Historical,EV sales share,Trucks,EV,2018,percent,0.07599999755621
