region,category,parameter,mode,powertrain,year,unit,value
Mexico,Historical,EV sales share,Cars,EV,2011,percent,0.000260000000708
Mexico,Historical,EV sales share,Cars,EV,2012,percent,0.007699999958277
Mexico,Historical,EV sales share,Cars,EV,2013,percent,0.00089000002481
Mexico,Historical,EV sales share,Cars,EV,2014,percent,0.003800000064075
Mexico,Historical,EV sales share,Cars,EV,2015,percent,0.00800000037998
Mexico,Historical,EV sales share,Cars,EV,2016,percent,0.052999999374151
Mexico,Historical,EV sales share,Cars,EV,2017,percent,0.086000002920628
Mexico,Historical,EV sales share,Cars,EV,2018,percent,0.140000000596046
Mexico,Historical,EV sales share,Cars,EV,2019,percent,0.140000000596046
Mexico,Historical,EV sales share,Cars,EV,2020,percent,0.449999988079071
Mexico,Historical,EV sales share,Cars,EV,2021,percent,0.72000002861023
Mexico,Historical,EV sales share,Cars,EV,2022,percent,0.889999985694885
Mexico,Historical,EV sales share,Cars,EV,2023,percent,1.29999995231628
