region,category,parameter,mode,powertrain,year,unit,value
Netherlands,Historical,EV sales share,Vans,EV,2010,percent,0.079000003635883
Netherlands,Historical,EV sales share,Cars,EV,2010,percent,0.025000000372529
Netherlands,Historical,EV sales share,Cars,EV,2011,percent,0.159999996423721
Netherlands,Historical,EV sales share,Vans,EV,2011,percent,0.119999997317791
Netherlands,Historical,EV sales share,Vans,EV,2012,percent,0.589999973773956
Netherlands,Historical,EV sales share,Cars,EV,2012,percent,1.0
Netherlands,Historical,EV sales share,Cars,EV,2013,percent,5.5
Netherlands,Historical,EV sales share,Vans,EV,2013,percent,0.349999994039536
Netherlands,Historical,EV sales share,Buses,EV,2013,percent,0.839999973773956
Netherlands,Historical,EV sales share,Buses,EV,2014,percent,1.0
Netherlands,Historical,EV sales share,Vans,EV,2014,percent,1.10000002384186
Netherlands,Historical,EV sales share,Cars,EV,2014,percent,3.90000009536743
Netherlands,Historical,EV sales share,Trucks,EV,2015,percent,0.028000000864267
Netherlands,Historical,EV sales share,Cars,EV,2015,percent,9.5
Netherlands,Historical,EV sales share,Vans,EV,2015,percent,0.469999998807907
Netherlands,Historical,EV sales share,Buses,EV,2015,percent,3.70000004768372
Netherlands,Historical,EV sales share,Buses,EV,2016,percent,9.80000019073486
Netherlands,Historical,EV sales share,Vans,EV,2016,percent,0.430000007152557
Netherlands,Historical,EV sales share,Cars,EV,2016,percent,5.80000019073486
Netherlands,Historical,EV sales share,Trucks,EV,2016,percent,0.159999996423721
Netherlands,Historical,EV sales share,Trucks,EV,2017,percent,0.109999999403954
Netherlands,Historical,EV sales share,Cars,EV,2017,percent,1.79999995231628
Netherlands,Historical,EV sales share,Vans,EV,2017,percent,0.740000009536743
Netherlands,Historical,EV sales share,Buses,EV,2017,percent,14.0
Netherlands,Historical,EV sales share,Buses,EV,2018,percent,17.0
Netherlands,Historical,EV sales share,Vans,EV,2018,percent,1.10000002384186
Netherlands,Historical,EV sales share,Cars,EV,2018,percent,4.69999980926514
Netherlands,Historical,EV sales share,Trucks,EV,2018,percent,0.150000005960464
Netherlands,Historical,EV sales share,Trucks,EV,2019,percent,0.639999985694885
Netherlands,Historical,EV sales share,Cars,EV,2019,percent,11.0
Netherlands,Historical,EV sales share,Vans,EV,2019,percent,1.5
Netherlands,Historical,EV sales share,Buses,EV,2019,percent,38.0
Netherlands,Historical,EV sales share,Buses,EV,2020,percent,65.0
Netherlands,Historical,EV sales share,Vans,EV,2020,percent,2.40000009536743
Netherlands,Historical,EV sales share,Cars,EV,2020,percent,16.0
Netherlands,Historical,EV sales share,Trucks,EV,2020,percent,0.360000014305115
Netherlands,Historical,EV sales share,Trucks,EV,2021,percent,0.509999990463257
Netherlands,Historical,EV sales share,Cars,EV,2021,percent,19.0
Netherlands,Historical,EV sales share,Vans,EV,2021,percent,3.90000009536743
Netherlands,Historical,EV sales share,Buses,EV,2021,percent,37.0
Netherlands,Historical,EV sales share,Buses,EV,2022,percent,25.0
Netherlands,Historical,EV sales share,Vans,EV,2022,percent,6.59999990463257
Netherlands,Historical,EV sales share,Cars,EV,2022,percent,26.0
Netherlands,Historical,EV sales share,Trucks,EV,2022,percent,0.769999980926514
Netherlands,Historical,EV sales share,Trucks,EV,2023,percent,5.90000009536743
Netherlands,Historical,EV sales share,Cars,EV,2023,percent,35.0
Netherlands,Historical,EV sales share,Vans,EV,2023,percent,12.0
Netherlands,Historical,EV sales share,Buses,EV,2023,percent,31.0
