region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV sales share,Cars,EV,2010,percent,0.006300000008196
New Zealand,Historical,EV sales share,Cars,EV,2011,percent,0.009899999946356
New Zealand,Historical,EV sales share,Buses,EV,2011,percent,0.239999994635582
New Zealand,Historical,EV sales share,Buses,EV,2012,percent,0.119999997317791
New Zealand,Historical,EV sales share,Cars,EV,2012,percent,0.017000000923872
New Zealand,Historical,EV sales share,Cars,EV,2013,percent,0.018999999389052
New Zealand,Historical,EV sales share,Cars,EV,2014,percent,0.140000000596046
New Zealand,Historical,EV sales share,Cars,EV,2015,percent,0.300000011920929
New Zealand,Historical,EV sales share,Cars,EV,2016,percent,0.779999971389771
New Zealand,Historical,EV sales share,Cars,EV,2017,percent,1.39999997615814
New Zealand,Historical,EV sales share,Buses,EV,2017,percent,0.03999999910593
New Zealand,Historical,EV sales share,Buses,EV,2018,percent,0.430000007152557
New Zealand,Historical,EV sales share,Cars,EV,2018,percent,2.09999990463257
New Zealand,Historical,EV sales share,Cars,EV,2019,percent,2.29999995231628
New Zealand,Historical,EV sales share,Vans,EV,2019,percent,0.119999997317791
New Zealand,Historical,EV sales share,Buses,EV,2019,percent,0.529999971389771
New Zealand,Historical,EV sales share,Buses,EV,2020,percent,0.899999976158142
New Zealand,Historical,EV sales share,Vans,EV,2020,percent,0.140000000596046
New Zealand,Historical,EV sales share,Cars,EV,2020,percent,1.60000002384186
New Zealand,Historical,EV sales share,Cars,EV,2021,percent,3.40000009536743
New Zealand,Historical,EV sales share,Vans,EV,2021,percent,0.300000011920929
New Zealand,Historical,EV sales share,Buses,EV,2021,percent,2.90000009536743
New Zealand,Historical,EV sales share,Buses,EV,2022,percent,6.0
New Zealand,Historical,EV sales share,Vans,EV,2022,percent,1.10000002384186
New Zealand,Historical,EV sales share,Cars,EV,2022,percent,11.0
New Zealand,Historical,EV sales share,Cars,EV,2023,percent,14.0
New Zealand,Historical,EV sales share,Vans,EV,2023,percent,1.5
New Zealand,Historical,EV sales share,Buses,EV,2023,percent,5.19999980926514
