region,category,parameter,mode,powertrain,year,unit,value
Portugal,Historical,EV sales share,Cars,EV,2010,percent,0.005799999926239
Portugal,Historical,EV sales share,Cars,EV,2011,percent,0.109999999403954
Portugal,Historical,EV sales share,Cars,EV,2012,percent,0.087999999523163
Portugal,Historical,EV sales share,Cars,EV,2013,percent,0.170000001788139
Portugal,Historical,EV sales share,Vans,EV,2013,percent,0.150000005960464
Portugal,Historical,EV sales share,Vans,EV,2014,percent,0.100000001490116
Portugal,Historical,EV sales share,Buses,EV,2014,percent,0.839999973773956
Portugal,Historical,EV sales share,Cars,EV,2014,percent,0.200000002980232
Portugal,Historical,EV sales share,Cars,EV,2015,percent,0.620000004768372
Portugal,Historical,EV sales share,Cars,EV,2016,percent,0.870000004768372
Portugal,Historical,EV sales share,Cars,EV,2017,percent,2.0
Portugal,Historical,EV sales share,Buses,EV,2017,percent,0.519999980926514
Portugal,Historical,EV sales share,Vans,EV,2017,percent,0.560000002384186
Portugal,Historical,EV sales share,Vans,EV,2018,percent,0.670000016689301
Portugal,Historical,EV sales share,Buses,EV,2018,percent,1.89999997615814
Portugal,Historical,EV sales share,Cars,EV,2018,percent,3.59999990463257
Portugal,Historical,EV sales share,Cars,EV,2019,percent,5.59999990463257
Portugal,Historical,EV sales share,Buses,EV,2019,percent,4.90000009536743
Portugal,Historical,EV sales share,Vans,EV,2019,percent,0.620000004768372
Portugal,Historical,EV sales share,Vans,EV,2020,percent,0.990000009536743
Portugal,Historical,EV sales share,Buses,EV,2020,percent,2.20000004768372
Portugal,Historical,EV sales share,Cars,EV,2020,percent,13.0
Portugal,Historical,EV sales share,Cars,EV,2021,percent,20.0
Portugal,Historical,EV sales share,Buses,EV,2021,percent,7.40000009536743
Portugal,Historical,EV sales share,Vans,EV,2021,percent,1.29999995231628
Portugal,Historical,EV sales share,Vans,EV,2022,percent,4.30000019073486
Portugal,Historical,EV sales share,Buses,EV,2022,percent,5.30000019073486
Portugal,Historical,EV sales share,Cars,EV,2022,percent,22.0
Portugal,Historical,EV sales share,Cars,EV,2023,percent,32.0
Portugal,Historical,EV sales share,Buses,EV,2023,percent,36.0
Portugal,Historical,EV sales share,Vans,EV,2023,percent,8.60000038146973
