region,category,parameter,mode,powertrain,year,unit,value
Turkiye,Historical,EV sales share,Cars,EV,2012,percent,0.016000000759959
Turkiye,Historical,EV sales share,Cars,EV,2013,percent,0.000119999996969
Turkiye,Historical,EV sales share,Cars,EV,2014,percent,0.012000000104308
Turkiye,Historical,EV sales share,Cars,EV,2015,percent,0.030999999493361
Turkiye,Historical,EV sales share,Cars,EV,2016,percent,0.013000000268221
Turkiye,Historical,EV sales share,Cars,EV,2017,percent,0.010999999940395
Turkiye,Historical,EV sales share,Cars,EV,2018,percent,0.043999999761582
Turkiye,Historical,EV sales share,Cars,EV,2019,percent,0.06700000166893
Turkiye,Historical,EV sales share,Cars,EV,2020,percent,0.170000001788139
Turkiye,Historical,EV sales share,Cars,EV,2021,percent,0.550000011920929
Turkiye,Historical,EV sales share,Cars,EV,2022,percent,1.10000002384186
Turkiye,Historical,EV sales share,Cars,EV,2023,percent,10.0
