region,category,parameter,mode,powertrain,year,unit,value
World,Historical,EV sales share,Cars,EV,2010,percent,0.010999999940395
World,Historical,EV sales share,Trucks,EV,2010,percent,0.000730000028852
World,Historical,EV sales share,Buses,EV,2010,percent,0.052000001072884
World,Historical,EV sales share,Vans,EV,2010,percent,0.018999999389052
World,Historical,EV sales share,Vans,EV,2011,percent,0.041000001132488
World,Historical,EV sales share,Buses,EV,2011,percent,0.048000000417233
World,Historical,EV sales share,Trucks,EV,2011,percent,0.003000000026077
World,Historical,EV sales share,Cars,EV,2011,percent,0.068000003695488
World,Historical,EV sales share,Cars,EV,2012,percent,0.159999996423721
World,Historical,EV sales share,Trucks,EV,2012,percent,0.000490000005811
World,Historical,EV sales share,Buses,EV,2012,percent,0.109999999403954
World,Historical,EV sales share,Vans,EV,2012,percent,0.119999997317791
World,Historical,EV sales share,Vans,EV,2013,percent,0.129999995231628
World,Historical,EV sales share,Buses,EV,2013,percent,0.209999993443489
World,Historical,EV sales share,Trucks,EV,2013,percent,0.000690000015311
World,Historical,EV sales share,Cars,EV,2013,percent,0.270000010728836
World,Historical,EV sales share,Cars,EV,2014,percent,0.409999996423721
World,Historical,EV sales share,Trucks,EV,2014,percent,0.00089999998454
World,Historical,EV sales share,Buses,EV,2014,percent,0.509999990463257
World,Historical,EV sales share,Vans,EV,2014,percent,0.119999997317791
World,Historical,EV sales share,Vans,EV,2015,percent,0.28999999165535
World,Historical,EV sales share,Buses,EV,2015,percent,2.79999995231628
World,Historical,EV sales share,Trucks,EV,2015,percent,0.310000002384186
World,Historical,EV sales share,Cars,EV,2015,percent,0.680000007152557
World,Historical,EV sales share,Cars,EV,2016,percent,0.899999976158142
World,Historical,EV sales share,Trucks,EV,2016,percent,0.810000002384186
World,Historical,EV sales share,Buses,EV,2016,percent,4.0
World,Historical,EV sales share,Vans,EV,2016,percent,0.239999994635582
World,Historical,EV sales share,Vans,EV,2017,percent,0.870000004768372
World,Historical,EV sales share,Buses,EV,2017,percent,5.0
World,Historical,EV sales share,Trucks,EV,2017,percent,1.20000004768372
World,Historical,EV sales share,Cars,EV,2017,percent,1.39999997615814
World,Historical,EV sales share,Cars,EV,2018,percent,2.40000009536743
World,Historical,EV sales share,Trucks,EV,2018,percent,0.600000023841858
World,Historical,EV sales share,Buses,EV,2018,percent,5.0
World,Historical,EV sales share,Vans,EV,2018,percent,0.779999971389771
World,Historical,EV sales share,Vans,EV,2019,percent,0.560000002384186
World,Historical,EV sales share,Buses,EV,2019,percent,4.40000009536743
World,Historical,EV sales share,Trucks,EV,2019,percent,0.409999996423721
World,Historical,EV sales share,Cars,EV,2019,percent,2.59999990463257
World,Historical,EV sales share,Cars,EV,2020,percent,4.19999980926514
World,Historical,EV sales share,Trucks,EV,2020,percent,0.28999999165535
World,Historical,EV sales share,Buses,EV,2020,percent,4.59999990463257
World,Historical,EV sales share,Vans,EV,2020,percent,0.920000016689301
World,Projection-APS,EV sales share,Vans,EV,2020,percent,0.920000016689301
World,Projection-APS,EV sales share,Buses,EV,2020,percent,4.59999990463257
World,Projection-APS,EV sales share,Cars,EV,2020,percent,4.19999980926514
World,Projection-APS,EV sales share,Trucks,EV,2020,percent,0.28999999165535
World,Projection-STEPS,EV sales share,Vans,EV,2020,percent,0.920000016689301
World,Projection-STEPS,EV sales share,Buses,EV,2020,percent,4.59999990463257
World,Projection-STEPS,EV sales share,Cars,EV,2020,percent,4.19999980926514
World,Projection-STEPS,EV sales share,Trucks,EV,2020,percent,0.28999999165535
World,Projection-STEPS,EV sales share,Trucks,EV,2021,percent,0.319999992847443
World,Projection-STEPS,EV sales share,Cars,EV,2021,percent,8.89999961853027
World,Projection-STEPS,EV sales share,Buses,EV,2021,percent,3.5
World,Projection-STEPS,EV sales share,Vans,EV,2021,percent,1.70000004768372
World,Projection-APS,EV sales share,Trucks,EV,2021,percent,0.319999992847443
World,Projection-APS,EV sales share,Cars,EV,2021,percent,8.89999961853027
World,Projection-APS,EV sales share,Buses,EV,2021,percent,3.5
World,Projection-APS,EV sales share,Vans,EV,2021,percent,1.70000004768372
World,Historical,EV sales share,Vans,EV,2021,percent,1.70000004768372
World,Historical,EV sales share,Buses,EV,2021,percent,3.5
World,Historical,EV sales share,Trucks,EV,2021,percent,0.319999992847443
World,Historical,EV sales share,Cars,EV,2021,percent,8.89999961853027
World,Historical,EV sales share,Cars,EV,2022,percent,14.0
World,Historical,EV sales share,Trucks,EV,2022,percent,0.740000009536743
World,Historical,EV sales share,Buses,EV,2022,percent,3.79999995231628
World,Historical,EV sales share,Vans,EV,2022,percent,3.20000004768372
World,Projection-APS,EV sales share,Vans,EV,2022,percent,3.20000004768372
World,Projection-APS,EV sales share,Buses,EV,2022,percent,3.79999995231628
World,Projection-APS,EV sales share,Cars,EV,2022,percent,14.0
World,Projection-APS,EV sales share,Trucks,EV,2022,percent,0.740000009536743
World,Projection-STEPS,EV sales share,Vans,EV,2022,percent,3.20000004768372
World,Projection-STEPS,EV sales share,Buses,EV,2022,percent,3.79999995231628
World,Projection-STEPS,EV sales share,Cars,EV,2022,percent,14.0
World,Projection-STEPS,EV sales share,Trucks,EV,2022,percent,0.740000009536743
World,Projection-STEPS,EV sales share,Trucks,EV,2023,percent,0.910000026226044
World,Projection-STEPS,EV sales share,Cars,EV,2023,percent,18.0
World,Projection-STEPS,EV sales share,Buses,EV,2023,percent,3.09999990463257
World,Projection-STEPS,EV sales share,Vans,EV,2023,percent,4.40000009536743
World,Projection-APS,EV sales share,Trucks,EV,2023,percent,0.910000026226044
World,Projection-APS,EV sales share,Cars,EV,2023,percent,18.0
World,Projection-APS,EV sales share,Buses,EV,2023,percent,3.09999990463257
