region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8.0
Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16.0
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340.0
Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,60.0
Belgium,Historical,EV sales,Cars,PHEV,2014,Vehicles,650.0
Belgium,Historical,EV sales,Cars,PHEV,2015,Vehicles,2500.0
Belgium,Historical,EV sales,Cars,PHEV,2016,Vehicles,7100.0
Belgium,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000.0
Belgium,Historical,EV sales,Vans,PHEV,2017,Vehicles,1.0
Belgium,Historical,EV sales,Buses,PHEV,2017,Vehicles,2.0
Belgium,Historical,EV sales,Vans,PHEV,2018,Vehicles,2.0
Belgium,Historical,EV sales,Cars,PHEV,2018,Vehicles,9600.0
Belgium,Historical,EV sales,Cars,PHEV,2019,Vehicles,8900.0
Belgium,Historical,EV sales,Buses,PHEV,2019,Vehicles,11.0
Belgium,Historical,EV sales,Buses,PHEV,2020,Vehicles,43.0
Belgium,Historical,EV sales,Vans,PHEV,2020,Vehicles,26.0
Belgium,Historical,EV sales,Cars,PHEV,2020,Vehicles,32000.0
Belgium,Historical,EV sales,Cars,PHEV,2021,Vehicles,48000.0
Belgium,Historical,EV sales,Vans,PHEV,2021,Vehicles,39.0
Belgium,Historical,EV sales,Buses,PHEV,2021,Vehicles,22.0
Belgium,Historical,EV sales,Buses,PHEV,2022,Vehicles,25.0
Belgium,Historical,EV sales,Vans,PHEV,2022,Vehicles,98.0
Belgium,Historical,EV sales,Cars,PHEV,2022,Vehicles,59000.0
Belgium,Historical,EV sales,Trucks,PHEV,2023,Vehicles,8.0
Belgium,Historical,EV sales,Cars,PHEV,2023,Vehicles,100000.0
Belgium,Historical,EV sales,Vans,PHEV,2023,Vehicles,24.0
Belgium,Historical,EV sales,Buses,PHEV,2023,Vehicles,110.0
Belgium,Historical,EV sales,Cars,FCEV,2015,Vehicles,2.0
Belgium,Historical,EV sales,Cars,FCEV,2016,Vehicles,7.0
Belgium,Historical,EV sales,Cars,FCEV,2017,Vehicles,11.0
Belgium,Historical,EV sales,Cars,FCEV,2018,Vehicles,13.0
Belgium,Historical,EV sales,Cars,FCEV,2019,Vehicles,12.0
Belgium,Historical,EV sales,Cars,FCEV,2020,Vehicles,4.0
Belgium,Historical,EV sales,Cars,FCEV,2021,Vehicles,21.0
Belgium,Historical,EV sales,Cars,FCEV,2022,Vehicles,20.0
Belgium,Historical,EV sales,Cars,FCEV,2023,Vehicles,9.0
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7.0
