region,category,parameter,mode,powertrain,year,unit,value
Canada,Historical,EV sales,Cars,PHEV,2011,Vehicles,300.0
Canada,Historical,EV sales,Cars,PHEV,2012,Vehicles,1300.0
Canada,Historical,EV sales,Cars,PHEV,2013,Vehicles,1500.0
Canada,Historical,EV sales,Cars,PHEV,2014,Vehicles,2300.0
Canada,Historical,EV sales,Cars,PHEV,2015,Vehicles,2400.0
Canada,Historical,EV sales,Vans,PHEV,2015,Vehicles,5.0
Canada,Historical,EV sales,Cars,PHEV,2016,Vehicles,6400.0
Canada,Historical,EV sales,Cars,PHEV,2017,Vehicles,8000.0
Canada,Historical,EV sales,Cars,PHEV,2018,Vehicles,21000.0
Canada,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000.0
Canada,Historical,EV sales,Vans,PHEV,2020,Vehicles,1400.0
Canada,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000.0
Canada,Historical,EV sales,Cars,PHEV,2021,Vehicles,28000.0
Canada,Historical,EV sales,Vans,PHEV,2021,Vehicles,2600.0
Canada,Historical,EV sales,Vans,PHEV,2022,Vehicles,3100.0
Canada,Historical,EV sales,Cars,PHEV,2022,Vehicles,24000.0
Canada,Historical,EV sales,Cars,PHEV,2023,Vehicles,41000.0
Canada,Historical,EV sales,Vans,PHEV,2023,Vehicles,4100.0
Canada,Historical,EV sales,Vans,FCEV,2015,Vehicles,9.0
Canada,Historical,EV sales,Cars,FCEV,2019,Vehicles,79.0
Canada,Historical,EV sales,Cars,FCEV,2020,Vehicles,16.0
Canada,Historical,EV sales,Trucks,FCEV,2020,Vehicles,7.0
Canada,Historical,EV sales,Trucks,FCEV,2021,Vehicles,28.0
Canada,Historical,EV sales,Cars,FCEV,2021,Vehicles,130.0
Canada,Historical,EV sales,Cars,FCEV,2022,Vehicles,19.0
Canada,Historical,EV sales,Trucks,FCEV,2022,Vehicles,18.0
Canada,Historical,EV sales,Trucks,FCEV,2023,Vehicles,18.0
Canada,Historical,EV sales,Cars,FCEV,2023,Vehicles,13.0
Canada,Historical,EV sales,Trucks,BEV,2010,Vehicles,1.0
Canada,Historical,EV sales,Trucks,BEV,2011,Vehicles,2.0
Canada,Historical,EV sales,Cars,BEV,2011,Vehicles,220.0
Canada,Historical,EV sales,Cars,BEV,2012,Vehicles,620.0
Canada,Historical,EV sales,Trucks,BEV,2012,Vehicles,3.0
Canada,Historical,EV sales,Trucks,BEV,2013,Vehicles,8.0
Canada,Historical,EV sales,Cars,BEV,2013,Vehicles,1600.0
Canada,Historical,EV sales,Cars,BEV,2014,Vehicles,2800.0
Canada,Historical,EV sales,Trucks,BEV,2014,Vehicles,6.0
Canada,Historical,EV sales,Trucks,BEV,2015,Vehicles,9.0
Canada,Historical,EV sales,Cars,BEV,2015,Vehicles,4400.0
Canada,Historical,EV sales,Vans,BEV,2015,Vehicles,1.0
Canada,Historical,EV sales,Cars,BEV,2016,Vehicles,5200.0
Canada,Historical,EV sales,Buses,BEV,2016,Vehicles,5.0
Canada,Historical,EV sales,Buses,BEV,2017,Vehicles,11.0
Canada,Historical,EV sales,Cars,BEV,2017,Vehicles,8700.0
Canada,Historical,EV sales,Cars,BEV,2018,Vehicles,23000.0
Canada,Historical,EV sales,Buses,BEV,2018,Vehicles,19.0
Canada,Historical,EV sales,Trucks,BEV,2018,Vehicles,7.0
Canada,Historical,EV sales,Buses,BEV,2019,Vehicles,49.0
Canada,Historical,EV sales,Cars,BEV,2019,Vehicles,32000.0
Canada,Historical,EV sales,Vans,BEV,2020,Vehicles,1600.0
Canada,Historical,EV sales,Cars,BEV,2020,Vehicles,37000.0
Canada,Historical,EV sales,Buses,BEV,2020,Vehicles,63.0
Canada,Historical,EV sales,Trucks,BEV,2021,Vehicles,20.0
Canada,Historical,EV sales,Buses,BEV,2021,Vehicles,250.0
Canada,Historical,EV sales,Cars,BEV,2021,Vehicles,59000.0
Canada,Historical,EV sales,Vans,BEV,2021,Vehicles,2600.0
Canada,Historical,EV sales,Vans,BEV,2022,Vehicles,7000.0
Canada,Historical,EV sales,Cars,BEV,2022,Vehicles,91000.0
Canada,Historical,EV sales,Buses,BEV,2022,Vehicles,190.0
Canada,Historical,EV sales,Trucks,BEV,2022,Vehicles,830.0
Canada,Historical,EV sales,Trucks,BEV,2023,Vehicles,2000.0
Canada,Historical,EV sales,Buses,BEV,2023,Vehicles,790.0
Canada,Historical,EV sales,Cars,BEV,2023,Vehicles,130000.0
Canada,Historical,EV sales,Vans,BEV,2023,Vehicles,9100.0
