region,category,parameter,mode,powertrain,year,unit,value
Czech Republic,Historical,EV sales,Cars,PHEV,2018,Vehicles,280.0
Czech Republic,Historical,EV sales,Cars,PHEV,2019,Vehicles,470.0
Czech Republic,Historical,EV sales,Cars,PHEV,2020,Vehicles,2000.0
Czech Republic,Historical,EV sales,Cars,PHEV,2021,Vehicles,3700.0
Czech Republic,Historical,EV sales,Cars,PHEV,2022,Vehicles,3600.0
Czech Republic,Historical,EV sales,Cars,PHEV,2023,Vehicles,5300.0
Czech Republic,Historical,EV sales,Cars,BEV,2015,Vehicles,300.0
Czech Republic,Historical,EV sales,Cars,BEV,2016,Vehicles,200.0
Czech Republic,Historical,EV sales,Cars,BEV,2017,Vehicles,390.0
Czech Republic,Historical,EV sales,Cars,BEV,2018,Vehicles,700.0
Czech Republic,Historical,EV sales,Cars,BEV,2019,Vehicles,760.0
Czech Republic,Historical,EV sales,Cars,BEV,2020,Vehicles,3300.0
Czech Republic,Historical,EV sales,Cars,BEV,2021,Vehicles,2700.0
Czech Republic,Historical,EV sales,Cars,BEV,2022,Vehicles,3900.0
Czech Republic,Historical,EV sales,Cars,BEV,2023,Vehicles,6700.0
