region,category,parameter,mode,powertrain,year,unit,value
Korea,Historical,EV sales,Cars,PHEV,2015,Vehicles,250.0
Korea,Historical,EV sales,Cars,PHEV,2016,Vehicles,330.0
Korea,Historical,EV sales,Cars,PHEV,2017,Vehicles,670.0
Korea,Historical,EV sales,Cars,PHEV,2018,Vehicles,4400.0
Korea,Historical,EV sales,Cars,PHEV,2019,Vehicles,2700.0
Korea,Historical,EV sales,Cars,PHEV,2020,Vehicles,8700.0
Korea,Historical,EV sales,Cars,PHEV,2021,Vehicles,19000.0
Korea,Historical,EV sales,Cars,PHEV,2022,Vehicles,11000.0
Korea,Historical,EV sales,Cars,PHEV,2023,Vehicles,12000.0
Korea,Historical,EV sales,Cars,FCEV,2015,Vehicles,29.0
Korea,Historical,EV sales,Cars,FCEV,2016,Vehicles,58.0
Korea,Historical,EV sales,Cars,FCEV,2017,Vehicles,75.0
Korea,Historical,EV sales,Cars,FCEV,2018,Vehicles,910.0
Korea,Historical,EV sales,Vans,FCEV,2018,Vehicles,2.0
Korea,Historical,EV sales,Vans,FCEV,2019,Vehicles,15.0
Korea,Historical,EV sales,Cars,FCEV,2019,Vehicles,4200.0
Korea,Historical,EV sales,Buses,FCEV,2020,Vehicles,37.0
Korea,Historical,EV sales,Cars,FCEV,2020,Vehicles,5000.0
Korea,Historical,EV sales,Vans,FCEV,2020,Vehicles,60.0
Korea,Historical,EV sales,Vans,FCEV,2021,Vehicles,54.0
Korea,Historical,EV sales,Cars,FCEV,2021,Vehicles,9200.0
Korea,Historical,EV sales,Buses,FCEV,2021,Vehicles,77.0
Korea,Historical,EV sales,Buses,FCEV,2022,Vehicles,150.0
Korea,Historical,EV sales,Cars,FCEV,2022,Vehicles,10000.0
Korea,Historical,EV sales,Cars,FCEV,2023,Vehicles,4300.0
Korea,Historical,EV sales,Buses,FCEV,2023,Vehicles,370.0
Korea,Historical,EV sales,Buses,BEV,2010,Vehicles,5.0
Korea,Historical,EV sales,Cars,BEV,2010,Vehicles,61.0
Korea,Historical,EV sales,Cars,BEV,2011,Vehicles,270.0
Korea,Historical,EV sales,Buses,BEV,2011,Vehicles,4.0
Korea,Historical,EV sales,Buses,BEV,2012,Vehicles,2.0
Korea,Historical,EV sales,Cars,BEV,2012,Vehicles,510.0
Korea,Historical,EV sales,Cars,BEV,2013,Vehicles,600.0
Korea,Historical,EV sales,Buses,BEV,2013,Vehicles,6.0
Korea,Historical,EV sales,Buses,BEV,2014,Vehicles,3.0
Korea,Historical,EV sales,Cars,BEV,2014,Vehicles,1300.0
Korea,Historical,EV sales,Cars,BEV,2015,Vehicles,3100.0
Korea,Historical,EV sales,Buses,BEV,2015,Vehicles,2.0
Korea,Historical,EV sales,Vans,BEV,2015,Vehicles,18.0
Korea,Historical,EV sales,Vans,BEV,2016,Vehicles,14.0
Korea,Historical,EV sales,Buses,BEV,2016,Vehicles,30.0
Korea,Historical,EV sales,Cars,BEV,2016,Vehicles,4700.0
Korea,Historical,EV sales,Cars,BEV,2017,Vehicles,14000.0
Korea,Historical,EV sales,Vans,BEV,2018,Vehicles,300.0
Korea,Historical,EV sales,Buses,BEV,2018,Vehicles,50.0
Korea,Historical,EV sales,Cars,BEV,2018,Vehicles,55000.0
Korea,Historical,EV sales,Cars,BEV,2019,Vehicles,33000.0
Korea,Historical,EV sales,Buses,BEV,2019,Vehicles,110.0
Korea,Historical,EV sales,Vans,BEV,2019,Vehicles,1500.0
Korea,Historical,EV sales,Vans,BEV,2020,Vehicles,15000.0
Korea,Historical,EV sales,Buses,BEV,2020,Vehicles,700.0
Korea,Historical,EV sales,Cars,BEV,2020,Vehicles,31000.0
Korea,Historical,EV sales,Cars,BEV,2021,Vehicles,72000.0
Korea,Historical,EV sales,Buses,BEV,2021,Vehicles,340.0
Korea,Historical,EV sales,Vans,BEV,2021,Vehicles,29000.0
Korea,Historical,EV sales,Vans,BEV,2022,Vehicles,36000.0
Korea,Historical,EV sales,Buses,BEV,2022,Vehicles,640.0
Korea,Historical,EV sales,Cars,BEV,2022,Vehicles,120000.0
Korea,Historical,EV sales,Cars,BEV,2023,Vehicles,120000.0
Korea,Historical,EV sales,Buses,BEV,2023,Vehicles,2500.0
Korea,Historical,EV sales,Vans,BEV,2023,Vehicles,41000.0
