region,category,parameter,mode,powertrain,year,unit,value
Lithuania,Historical,EV sales,Cars,PHEV,2021,Vehicles,400.0
Lithuania,Historical,EV sales,Cars,PHEV,2022,Vehicles,670.0
Lithuania,Historical,EV sales,Cars,BEV,2015,Vehicles,37.0
Lithuania,Historical,EV sales,Cars,BEV,2016,Vehicles,64.0
Lithuania,Historical,EV sales,Cars,BEV,2017,Vehicles,52.0
Lithuania,Historical,EV sales,Cars,BEV,2018,Vehicles,140.0
Lithuania,Historical,EV sales,Cars,BEV,2019,Vehicles,160.0
Lithuania,Historical,EV sales,Cars,BEV,2020,Vehicles,450.0
Lithuania,Historical,EV sales,Cars,BEV,2021,Vehicles,1200.0
Lithuania,Historical,EV sales,Cars,BEV,2022,Vehicles,1400.0
Lithuania,Historical,EV sales,Cars,BEV,2023,Vehicles,2100.0
