region,category,parameter,mode,powertrain,year,unit,value
Netherlands,Historical,EV sales,Cars,PHEV,2011,Vehicles,17.0
Netherlands,Historical,EV sales,Cars,PHEV,2012,Vehicles,4300.0
Netherlands,Historical,EV sales,Cars,PHEV,2013,Vehicles,20000.0
Netherlands,Historical,EV sales,Cars,PHEV,2014,Vehicles,12000.0
Netherlands,Historical,EV sales,Cars,PHEV,2015,Vehicles,39000.0
Netherlands,Historical,EV sales,Cars,PHEV,2016,Vehicles,18000.0
Netherlands,Historical,EV sales,Cars,PHEV,2017,Vehicles,2500.0
Netherlands,Historical,EV sales,Trucks,PHEV,2017,Vehicles,2.0
Netherlands,Historical,EV sales,Trucks,PHEV,2018,Vehicles,1.0
Netherlands,Historical,EV sales,Cars,PHEV,2018,Vehicles,5100.0
Netherlands,Historical,EV sales,Cars,PHEV,2019,Vehicles,6700.0
Netherlands,Historical,EV sales,Trucks,PHEV,2019,Vehicles,1.0
Netherlands,Historical,EV sales,Trucks,PHEV,2020,Vehicles,3.0
Netherlands,Historical,EV sales,Cars,PHEV,2020,Vehicles,18000.0
Netherlands,Historical,EV sales,Vans,PHEV,2020,Vehicles,33.0
Netherlands,Historical,EV sales,Vans,PHEV,2021,Vehicles,46.0
Netherlands,Historical,EV sales,Cars,PHEV,2021,Vehicles,40000.0
Netherlands,Historical,EV sales,Trucks,PHEV,2021,Vehicles,16.0
Netherlands,Historical,EV sales,Trucks,PHEV,2022,Vehicles,17.0
Netherlands,Historical,EV sales,Cars,PHEV,2022,Vehicles,50000.0
Netherlands,Historical,EV sales,Vans,PHEV,2022,Vehicles,35.0
Netherlands,Historical,EV sales,Vans,PHEV,2023,Vehicles,90.0
Netherlands,Historical,EV sales,Cars,PHEV,2023,Vehicles,80000.0
Netherlands,Historical,EV sales,Trucks,PHEV,2023,Vehicles,26.0
Netherlands,Historical,EV sales,Cars,FCEV,2014,Vehicles,2.20000004768372
Netherlands,Historical,EV sales,Cars,FCEV,2015,Vehicles,19.0
Netherlands,Historical,EV sales,Cars,FCEV,2016,Vehicles,7.0
Netherlands,Historical,EV sales,Buses,FCEV,2016,Vehicles,1.0
Netherlands,Historical,EV sales,Buses,FCEV,2017,Vehicles,3.0
Netherlands,Historical,EV sales,Cars,FCEV,2017,Vehicles,7.0
Netherlands,Historical,EV sales,Vans,FCEV,2017,Vehicles,1.0
Netherlands,Historical,EV sales,Vans,FCEV,2018,Vehicles,2.0
Netherlands,Historical,EV sales,Cars,FCEV,2018,Vehicles,13.0
Netherlands,Historical,EV sales,Buses,FCEV,2019,Vehicles,1.0
Netherlands,Historical,EV sales,Cars,FCEV,2019,Vehicles,160.0
Netherlands,Historical,EV sales,Trucks,FCEV,2020,Vehicles,2.0
Netherlands,Historical,EV sales,Cars,FCEV,2020,Vehicles,170.0
Netherlands,Historical,EV sales,Buses,FCEV,2021,Vehicles,37.0
Netherlands,Historical,EV sales,Cars,FCEV,2021,Vehicles,140.0
Netherlands,Historical,EV sales,Trucks,FCEV,2021,Vehicles,8.0
Netherlands,Historical,EV sales,Trucks,FCEV,2022,Vehicles,14.0
Netherlands,Historical,EV sales,Cars,FCEV,2022,Vehicles,87.0
Netherlands,Historical,EV sales,Buses,FCEV,2022,Vehicles,14.0
Netherlands,Historical,EV sales,Buses,FCEV,2023,Vehicles,9.0
Netherlands,Historical,EV sales,Cars,FCEV,2023,Vehicles,65.0
Netherlands,Historical,EV sales,Trucks,FCEV,2023,Vehicles,8.0
Netherlands,Historical,EV sales,Cars,BEV,2010,Vehicles,120.0
Netherlands,Historical,EV sales,Vans,BEV,2010,Vehicles,39.0
Netherlands,Historical,EV sales,Vans,BEV,2011,Vehicles,72.0
Netherlands,Historical,EV sales,Cars,BEV,2011,Vehicles,860.0
Netherlands,Historical,EV sales,Cars,BEV,2012,Vehicles,790.0
Netherlands,Historical,EV sales,Vans,BEV,2012,Vehicles,340.0
Netherlands,Historical,EV sales,Vans,BEV,2013,Vehicles,180.0
Netherlands,Historical,EV sales,Buses,BEV,2013,Vehicles,5.0
Netherlands,Historical,EV sales,Cars,BEV,2013,Vehicles,2600.0
Netherlands,Historical,EV sales,Cars,BEV,2014,Vehicles,2700.0
Netherlands,Historical,EV sales,Buses,BEV,2014,Vehicles,7.0
Netherlands,Historical,EV sales,Vans,BEV,2014,Vehicles,590.0
Netherlands,Historical,EV sales,Vans,BEV,2015,Vehicles,260.0
Netherlands,Historical,EV sales,Buses,BEV,2015,Vehicles,12.0
Netherlands,Historical,EV sales,Cars,BEV,2015,Vehicles,3400.0
Netherlands,Historical,EV sales,Trucks,BEV,2015,Vehicles,4.0
Netherlands,Historical,EV sales,Trucks,BEV,2016,Vehicles,26.0
Netherlands,Historical,EV sales,Cars,BEV,2016,Vehicles,4000.0
Netherlands,Historical,EV sales,Buses,BEV,2016,Vehicles,80.0
Netherlands,Historical,EV sales,Vans,BEV,2016,Vehicles,290.0
Netherlands,Historical,EV sales,Vans,BEV,2017,Vehicles,650.0
Netherlands,Historical,EV sales,Buses,BEV,2017,Vehicles,150.0
Netherlands,Historical,EV sales,Cars,BEV,2017,Vehicles,8700.0
Netherlands,Historical,EV sales,Trucks,BEV,2017,Vehicles,18.0
Netherlands,Historical,EV sales,Trucks,BEV,2018,Vehicles,30.0
Netherlands,Historical,EV sales,Cars,BEV,2018,Vehicles,25000.0
Netherlands,Historical,EV sales,Buses,BEV,2018,Vehicles,110.0
Netherlands,Historical,EV sales,Vans,BEV,2018,Vehicles,1000.0
Netherlands,Historical,EV sales,Vans,BEV,2019,Vehicles,1400.0
Netherlands,Historical,EV sales,Buses,BEV,2019,Vehicles,380.0
Netherlands,Historical,EV sales,Cars,BEV,2019,Vehicles,63000.0
Netherlands,Historical,EV sales,Trucks,BEV,2019,Vehicles,130.0
Netherlands,Historical,EV sales,Trucks,BEV,2020,Vehicles,50.0
Netherlands,Historical,EV sales,Cars,BEV,2020,Vehicles,76000.0
Netherlands,Historical,EV sales,Buses,BEV,2020,Vehicles,450.0
Netherlands,Historical,EV sales,Vans,BEV,2020,Vehicles,1700.0
Netherlands,Historical,EV sales,Vans,BEV,2021,Vehicles,3300.0
Netherlands,Historical,EV sales,Buses,BEV,2021,Vehicles,150.0
Netherlands,Historical,EV sales,Cars,BEV,2021,Vehicles,70000.0
Netherlands,Historical,EV sales,Trucks,BEV,2021,Vehicles,71.0
Netherlands,Historical,EV sales,Trucks,BEV,2022,Vehicles,120.0
Netherlands,Historical,EV sales,Cars,BEV,2022,Vehicles,87000.0
Netherlands,Historical,EV sales,Buses,BEV,2022,Vehicles,99.0
Netherlands,Historical,EV sales,Vans,BEV,2022,Vehicles,5000.0
Netherlands,Historical,EV sales,Vans,BEV,2023,Vehicles,10000.0
Netherlands,Historical,EV sales,Buses,BEV,2023,Vehicles,180.0
Netherlands,Historical,EV sales,Cars,BEV,2023,Vehicles,130000.0
Netherlands,Historical,EV sales,Trucks,BEV,2023,Vehicles,1200.0
