region,category,parameter,mode,powertrain,year,unit,value
Portugal,Historical,EV sales,Cars,PHEV,2011,Vehicles,2.0
Portugal,Historical,EV sales,Cars,PHEV,2012,Vehicles,30.0
Portugal,Historical,EV sales,Cars,PHEV,2013,Vehicles,35.0
Portugal,Historical,EV sales,Buses,PHEV,2014,Vehicles,2.0
Portugal,Historical,EV sales,Cars,PHEV,2014,Vehicles,98.0
Portugal,Historical,EV sales,Cars,PHEV,2015,Vehicles,430.0
Portugal,Historical,EV sales,Cars,PHEV,2016,Vehicles,1000.0
Portugal,Historical,EV sales,Cars,PHEV,2017,Vehicles,2500.0
Portugal,Historical,EV sales,Buses,PHEV,2017,Vehicles,2.0
Portugal,Historical,EV sales,Cars,PHEV,2018,Vehicles,3900.0
Portugal,Historical,EV sales,Cars,PHEV,2019,Vehicles,5800.0
Portugal,Historical,EV sales,Buses,PHEV,2019,Vehicles,10.0
Portugal,Historical,EV sales,Cars,PHEV,2020,Vehicles,12000.0
Portugal,Historical,EV sales,Vans,PHEV,2021,Vehicles,7.0
Portugal,Historical,EV sales,Cars,PHEV,2021,Vehicles,16000.0
Portugal,Historical,EV sales,Buses,PHEV,2021,Vehicles,2.0
Portugal,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000.0
Portugal,Historical,EV sales,Vans,PHEV,2022,Vehicles,2.0
Portugal,Historical,EV sales,Cars,PHEV,2023,Vehicles,27000.0
Portugal,Historical,EV sales,Cars,FCEV,2021,Vehicles,1.0
Portugal,Historical,EV sales,Cars,FCEV,2023,Vehicles,2.0
Portugal,Historical,EV sales,Buses,FCEV,2023,Vehicles,1.0
Portugal,Historical,EV sales,Cars,BEV,2010,Vehicles,13.0
Portugal,Historical,EV sales,Cars,BEV,2011,Vehicles,170.0
Portugal,Historical,EV sales,Cars,BEV,2012,Vehicles,54.0
Portugal,Historical,EV sales,Cars,BEV,2013,Vehicles,150.0
Portugal,Historical,EV sales,Vans,BEV,2013,Vehicles,27.0
Portugal,Historical,EV sales,Vans,BEV,2014,Vehicles,26.0
Portugal,Historical,EV sales,Cars,BEV,2014,Vehicles,190.0
Portugal,Historical,EV sales,Cars,BEV,2015,Vehicles,670.0
Portugal,Historical,EV sales,Cars,BEV,2016,Vehicles,800.0
Portugal,Historical,EV sales,Cars,BEV,2017,Vehicles,1900.0
Portugal,Historical,EV sales,Vans,BEV,2017,Vehicles,200.0
Portugal,Historical,EV sales,Buses,BEV,2018,Vehicles,10.0
Portugal,Historical,EV sales,Vans,BEV,2018,Vehicles,260.0
Portugal,Historical,EV sales,Cars,BEV,2018,Vehicles,4300.0
Portugal,Historical,EV sales,Cars,BEV,2019,Vehicles,6800.0
Portugal,Historical,EV sales,Vans,BEV,2019,Vehicles,230.0
Portugal,Historical,EV sales,Buses,BEV,2019,Vehicles,17.0
Portugal,Historical,EV sales,Buses,BEV,2020,Vehicles,10.0
Portugal,Historical,EV sales,Vans,BEV,2020,Vehicles,270.0
Portugal,Historical,EV sales,Cars,BEV,2020,Vehicles,7800.0
Portugal,Historical,EV sales,Cars,BEV,2021,Vehicles,13000.0
Portugal,Historical,EV sales,Vans,BEV,2021,Vehicles,360.0
Portugal,Historical,EV sales,Buses,BEV,2021,Vehicles,44.0
Portugal,Historical,EV sales,Buses,BEV,2022,Vehicles,76.0
Portugal,Historical,EV sales,Vans,BEV,2022,Vehicles,1000.0
Portugal,Historical,EV sales,Cars,BEV,2022,Vehicles,18000.0
Portugal,Historical,EV sales,Cars,BEV,2023,Vehicles,36000.0
Portugal,Historical,EV sales,Vans,BEV,2023,Vehicles,2500.0
Portugal,Historical,EV sales,Buses,BEV,2023,Vehicles,360.0
