region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,EV sales,Cars,PHEV,2012,Vehicles,68.0
Rest of the world,Historical,EV sales,Cars,PHEV,2013,Vehicles,21.0
Rest of the world,Historical,EV sales,Cars,PHEV,2014,Vehicles,400.0
Rest of the world,Historical,EV sales,Cars,PHEV,2015,Vehicles,900.0
Rest of the world,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
Rest of the world,Historical,EV sales,Cars,PHEV,2017,Vehicles,570.0
Rest of the world,Historical,EV sales,Buses,PHEV,2018,Vehicles,40.0
Rest of the world,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0
Rest of the world,Historical,EV sales,Cars,PHEV,2019,Vehicles,2800.0
Rest of the world,Historical,EV sales,Buses,PHEV,2020,Vehicles,4.0
Rest of the world,Projection-APS,EV sales,Buses,PHEV,2020,Vehicles,4.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,57000.0
Rest of the world,Projection-STEPS,EV sales,Buses,PHEV,2020,Vehicles,4.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2020,Vehicles,1400.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2020,Vehicles,1400.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,57000.0
Rest of the world,Historical,EV sales,Cars,PHEV,2020,Vehicles,3200.0
Rest of the world,Historical,EV sales,Cars,PHEV,2021,Vehicles,5900.0
Rest of the world,Projection-APS,EV sales,Trucks,PHEV,2021,Vehicles,13.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,110000.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2021,Vehicles,2700.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2021,Vehicles,2700.0
Rest of the world,Projection-STEPS,EV sales,Buses,PHEV,2021,Vehicles,2.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,110000.0
Rest of the world,Projection-STEPS,EV sales,Trucks,PHEV,2021,Vehicles,13.0
Rest of the world,Projection-APS,EV sales,Buses,PHEV,2021,Vehicles,2.0
Rest of the world,Historical,EV sales,Buses,PHEV,2021,Vehicles,1.0
Rest of the world,Historical,EV sales,Buses,PHEV,2022,Vehicles,5.0
Rest of the world,Projection-APS,EV sales,Buses,PHEV,2022,Vehicles,7.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,120000.0
Rest of the world,Projection-STEPS,EV sales,Buses,PHEV,2022,Vehicles,7.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2022,Vehicles,3200.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2022,Vehicles,3200.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,120000.0
Rest of the world,Historical,EV sales,Cars,PHEV,2022,Vehicles,7900.0
Rest of the world,Historical,EV sales,Cars,PHEV,2023,Vehicles,26000.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,200000.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2023,Vehicles,4100.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2023,Vehicles,4100.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2023,Vehicles,200000.0
Rest of the world,Projection-APS,EV sales,Buses,PHEV,2025,Vehicles,7600.0
Rest of the world,Projection-APS,EV sales,Trucks,PHEV,2025,Vehicles,5500.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2025,Vehicles,47000.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,450000.0
Rest of the world,Projection-STEPS,EV sales,Buses,PHEV,2025,Vehicles,8500.0
Rest of the world,Projection-STEPS,EV sales,Trucks,PHEV,2025,Vehicles,63.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2025,Vehicles,9000.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,370000.0
Rest of the world,Projection-STEPS,EV sales,Buses,PHEV,2030,Vehicles,35000.0
Rest of the world,Projection-STEPS,EV sales,Trucks,PHEV,2030,Vehicles,19000.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2030,Vehicles,20000.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,750000.0
Rest of the world,Projection-APS,EV sales,Buses,PHEV,2030,Vehicles,24000.0
Rest of the world,Projection-APS,EV sales,Trucks,PHEV,2030,Vehicles,17000.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2030,Vehicles,150000.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,1400000.0
Rest of the world,Projection-APS,EV sales,Buses,PHEV,2035,Vehicles,49000.0
Rest of the world,Projection-APS,EV sales,Trucks,PHEV,2035,Vehicles,26000.0
Rest of the world,Projection-APS,EV sales,Vans,PHEV,2035,Vehicles,150000.0
Rest of the world,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,2000000.0
Rest of the world,Projection-STEPS,EV sales,Buses,PHEV,2035,Vehicles,74000.0
Rest of the world,Projection-STEPS,EV sales,Trucks,PHEV,2035,Vehicles,58000.0
Rest of the world,Projection-STEPS,EV sales,Vans,PHEV,2035,Vehicles,41000.0
Rest of the world,Projection-STEPS,EV sales,Cars,PHEV,2035,Vehicles,960000.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2020,Vehicles,140.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2020,Vehicles,5500.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2020,Vehicles,7.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2020,Vehicles,140.0
Rest of the world,Projection-STEPS,EV sales,Vans,FCEV,2020,Vehicles,60.0
Rest of the world,Projection-APS,EV sales,Vans,FCEV,2020,Vehicles,60.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,5500.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2020,Vehicles,7.0
Rest of the world,Historical,EV sales,Cars,FCEV,2020,Vehicles,4.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2021,Vehicles,33.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,12000.0
Rest of the world,Projection-APS,EV sales,Vans,FCEV,2021,Vehicles,54.0
Rest of the world,Projection-STEPS,EV sales,Vans,FCEV,2021,Vehicles,54.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2021,Vehicles,80.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2021,Vehicles,33.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2021,Vehicles,12000.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2021,Vehicles,80.0
Rest of the world,Historical,EV sales,Buses,FCEV,2021,Vehicles,3.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2022,Vehicles,160.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2022,Vehicles,11000.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2022,Vehicles,18.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2022,Vehicles,160.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,11000.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2022,Vehicles,18.0
Rest of the world,Historical,EV sales,Cars,FCEV,2022,Vehicles,1.0
Rest of the world,Historical,EV sales,Trucks,FCEV,2023,Vehicles,1.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2023,Vehicles,41.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2023,Vehicles,4600.0
Rest of the world,Projection-APS,EV sales,Vans,FCEV,2023,Vehicles,1.0
Rest of the world,Projection-STEPS,EV sales,Vans,FCEV,2023,Vehicles,1.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2023,Vehicles,370.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2023,Vehicles,41.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2023,Vehicles,4600.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2023,Vehicles,370.0
Rest of the world,Historical,EV sales,Vans,FCEV,2023,Vehicles,1.0
Rest of the world,Historical,EV sales,Buses,FCEV,2023,Vehicles,1.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2025,Vehicles,5300.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2025,Vehicles,610.0
Rest of the world,Projection-APS,EV sales,Vans,FCEV,2025,Vehicles,7300.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,68000.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2025,Vehicles,4400.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2025,Vehicles,87.0
Rest of the world,Projection-STEPS,EV sales,Vans,FCEV,2025,Vehicles,7200.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2025,Vehicles,26000.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2030,Vehicles,14000.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2030,Vehicles,1200.0
Rest of the world,Projection-STEPS,EV sales,Vans,FCEV,2030,Vehicles,19000.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2030,Vehicles,50000.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2030,Vehicles,29000.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2030,Vehicles,8300.0
Rest of the world,Projection-APS,EV sales,Vans,FCEV,2030,Vehicles,23000.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,190000.0
Rest of the world,Projection-APS,EV sales,Buses,FCEV,2035,Vehicles,45000.0
Rest of the world,Projection-APS,EV sales,Trucks,FCEV,2035,Vehicles,31000.0
Rest of the world,Projection-APS,EV sales,Vans,FCEV,2035,Vehicles,67000.0
Rest of the world,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,470000.0
Rest of the world,Projection-STEPS,EV sales,Buses,FCEV,2035,Vehicles,29000.0
Rest of the world,Projection-STEPS,EV sales,Trucks,FCEV,2035,Vehicles,1900.0
Rest of the world,Projection-STEPS,EV sales,Vans,FCEV,2035,Vehicles,39000.0
Rest of the world,Projection-STEPS,EV sales,Cars,FCEV,2035,Vehicles,99000.0
Rest of the world,Historical,EV sales,Cars,BEV,2011,Vehicles,42.0
Rest of the world,Historical,EV sales,Cars,BEV,2012,Vehicles,380.0
Rest of the world,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
Rest of the world,Historical,EV sales,Cars,BEV,2014,Vehicles,150.0
