region,category,parameter,mode,powertrain,year,unit,value
Switzerland,Historical,EV sales,Cars,PHEV,2011,Vehicles,41.0
Switzerland,Historical,EV sales,Cars,PHEV,2012,Vehicles,400.0
Switzerland,Historical,EV sales,Cars,PHEV,2013,Vehicles,170.0
Switzerland,Historical,EV sales,Cars,PHEV,2014,Vehicles,200.0
Switzerland,Historical,EV sales,Cars,PHEV,2015,Vehicles,2400.0
Switzerland,Historical,EV sales,Cars,PHEV,2016,Vehicles,2800.0
Switzerland,Historical,EV sales,Cars,PHEV,2017,Vehicles,3600.0
Switzerland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4400.0
Switzerland,Historical,EV sales,Cars,PHEV,2019,Vehicles,4300.0
Switzerland,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000.0
Switzerland,Historical,EV sales,Vans,PHEV,2020,Vehicles,9.0
Switzerland,Historical,EV sales,Vans,PHEV,2021,Vehicles,170.0
Switzerland,Historical,EV sales,Cars,PHEV,2021,Vehicles,22000.0
Switzerland,Historical,EV sales,Cars,PHEV,2022,Vehicles,19000.0
Switzerland,Historical,EV sales,Vans,PHEV,2022,Vehicles,4.0
Switzerland,Historical,EV sales,Buses,PHEV,2022,Vehicles,1.0
Switzerland,Historical,EV sales,Cars,PHEV,2023,Vehicles,23000.0
Switzerland,Historical,EV sales,Cars,FCEV,2015,Vehicles,10.0
Switzerland,Historical,EV sales,Cars,FCEV,2016,Vehicles,26.0
Switzerland,Historical,EV sales,Buses,FCEV,2016,Vehicles,5.0
Switzerland,Historical,EV sales,Cars,FCEV,2017,Vehicles,1.0
Switzerland,Historical,EV sales,Cars,FCEV,2018,Vehicles,22.0
Switzerland,Historical,EV sales,Buses,FCEV,2018,Vehicles,10.0
Switzerland,Historical,EV sales,Cars,FCEV,2019,Vehicles,25.0
Switzerland,Historical,EV sales,Trucks,FCEV,2020,Vehicles,20.0
Switzerland,Historical,EV sales,Trucks,FCEV,2021,Vehicles,60.0
Switzerland,Historical,EV sales,Cars,FCEV,2021,Vehicles,56.0
Switzerland,Historical,EV sales,Cars,FCEV,2022,Vehicles,72.0
Switzerland,Historical,EV sales,Cars,FCEV,2023,Vehicles,27.0
Switzerland,Historical,EV sales,Cars,BEV,2011,Vehicles,400.0
Switzerland,Historical,EV sales,Cars,BEV,2012,Vehicles,340.0
Switzerland,Historical,EV sales,Vans,BEV,2012,Vehicles,120.0
Switzerland,Historical,EV sales,Vans,BEV,2013,Vehicles,110.0
Switzerland,Historical,EV sales,Cars,BEV,2013,Vehicles,1200.0
Switzerland,Historical,EV sales,Cars,BEV,2014,Vehicles,2700.0
Switzerland,Historical,EV sales,Vans,BEV,2014,Vehicles,52.0
Switzerland,Historical,EV sales,Vans,BEV,2015,Vehicles,160.0
Switzerland,Historical,EV sales,Cars,BEV,2015,Vehicles,3300.0
Switzerland,Historical,EV sales,Cars,BEV,2016,Vehicles,3300.0
Switzerland,Historical,EV sales,Vans,BEV,2016,Vehicles,85.0
Switzerland,Historical,EV sales,Buses,BEV,2016,Vehicles,5.0
Switzerland,Historical,EV sales,Buses,BEV,2017,Vehicles,2.0
Switzerland,Historical,EV sales,Vans,BEV,2017,Vehicles,220.0
Switzerland,Historical,EV sales,Cars,BEV,2017,Vehicles,4800.0
Switzerland,Historical,EV sales,Cars,BEV,2018,Vehicles,5100.0
Switzerland,Historical,EV sales,Vans,BEV,2018,Vehicles,300.0
Switzerland,Historical,EV sales,Buses,BEV,2018,Vehicles,18.0
Switzerland,Historical,EV sales,Buses,BEV,2019,Vehicles,10.0
Switzerland,Historical,EV sales,Vans,BEV,2019,Vehicles,580.0
Switzerland,Historical,EV sales,Cars,BEV,2019,Vehicles,13000.0
Switzerland,Historical,EV sales,Trucks,BEV,2019,Vehicles,36.0
Switzerland,Historical,EV sales,Trucks,BEV,2020,Vehicles,38.0
Switzerland,Historical,EV sales,Cars,BEV,2020,Vehicles,20000.0
Switzerland,Historical,EV sales,Vans,BEV,2020,Vehicles,780.0
Switzerland,Historical,EV sales,Buses,BEV,2020,Vehicles,22.0
Switzerland,Historical,EV sales,Buses,BEV,2021,Vehicles,55.0
Switzerland,Historical,EV sales,Vans,BEV,2021,Vehicles,1300.0
Switzerland,Historical,EV sales,Cars,BEV,2021,Vehicles,32000.0
Switzerland,Historical,EV sales,Trucks,BEV,2021,Vehicles,50.0
Switzerland,Historical,EV sales,Trucks,BEV,2022,Vehicles,180.0
Switzerland,Historical,EV sales,Cars,BEV,2022,Vehicles,40000.0
Switzerland,Historical,EV sales,Vans,BEV,2022,Vehicles,2400.0
Switzerland,Historical,EV sales,Buses,BEV,2022,Vehicles,110.0
Switzerland,Historical,EV sales,Buses,BEV,2023,Vehicles,770.0
Switzerland,Historical,EV sales,Vans,BEV,2023,Vehicles,3900.0
Switzerland,Historical,EV sales,Cars,BEV,2023,Vehicles,53000.0
Switzerland,Historical,EV sales,Trucks,BEV,2023,Vehicles,380.0
