region,category,parameter,mode,powertrain,year,unit,value
Austria,Historical,EV stock share,Cars,EV,2010,percent,0.00789999961853
Austria,Historical,EV stock share,Cars,EV,2011,percent,0.021999999880791
Austria,Historical,EV stock share,Cars,EV,2012,percent,0.032999999821186
Austria,Historical,EV stock share,Cars,EV,2013,percent,0.052999999374151
Austria,Historical,EV stock share,Cars,EV,2014,percent,0.089000001549721
Austria,Historical,EV stock share,Cars,EV,2015,percent,0.140000000596046
Austria,Historical,EV stock share,Cars,EV,2016,percent,0.239999994635582
Austria,Historical,EV stock share,Cars,EV,2017,percent,0.379999995231628
Austria,Historical,EV stock share,Cars,EV,2018,percent,0.529999971389771
Austria,Historical,EV stock share,Cars,EV,2019,percent,0.75
Austria,Historical,EV stock share,Cars,EV,2020,percent,1.20000004768372
Austria,Historical,EV stock share,Cars,EV,2021,percent,2.09999990463257
Austria,Historical,EV stock share,Cars,EV,2022,percent,3.0
Austria,Historical,EV stock share,Cars,EV,2023,percent,4.40000009536743
