region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock share,Buses,EV,2010,percent,0.018999999389052
Belgium,Historical,EV stock share,Vans,EV,2010,percent,0.010999999940395
Belgium,Historical,EV stock share,Cars,EV,2010,percent,0.001300000003539
Belgium,Historical,EV stock share,Trucks,EV,2010,percent,0.001300000003539
Belgium,Historical,EV stock share,Trucks,EV,2011,percent,0.00400000018999
Belgium,Historical,EV stock share,Cars,EV,2011,percent,0.00650000013411
Belgium,Historical,EV stock share,Vans,EV,2011,percent,0.013000000268221
Belgium,Historical,EV stock share,Buses,EV,2011,percent,0.018999999389052
Belgium,Historical,EV stock share,Buses,EV,2012,percent,0.018999999389052
Belgium,Historical,EV stock share,Vans,EV,2012,percent,0.052999999374151
Belgium,Historical,EV stock share,Cars,EV,2012,percent,0.021999999880791
Belgium,Historical,EV stock share,Trucks,EV,2012,percent,0.004800000227988
Belgium,Historical,EV stock share,Trucks,EV,2013,percent,0.004800000227988
Belgium,Historical,EV stock share,Cars,EV,2013,percent,0.032999999821186
Belgium,Historical,EV stock share,Vans,EV,2013,percent,0.06700000166893
Belgium,Historical,EV stock share,Buses,EV,2013,percent,0.018999999389052
Belgium,Historical,EV stock share,Buses,EV,2014,percent,0.239999994635582
Belgium,Historical,EV stock share,Vans,EV,2014,percent,0.079000003635883
Belgium,Historical,EV stock share,Cars,EV,2014,percent,0.06700000166893
Belgium,Historical,EV stock share,Trucks,EV,2014,percent,0.00760000012815
Belgium,Historical,EV stock share,Trucks,EV,2015,percent,0.008399999700487
Belgium,Historical,EV stock share,Cars,EV,2015,percent,0.129999995231628
Belgium,Historical,EV stock share,Vans,EV,2015,percent,0.08500000089407
Belgium,Historical,EV stock share,Buses,EV,2015,percent,0.529999971389771
Belgium,Historical,EV stock share,Buses,EV,2016,percent,0.75
Belgium,Historical,EV stock share,Vans,EV,2016,percent,0.097000002861023
Belgium,Historical,EV stock share,Cars,EV,2016,percent,0.280000001192093
Belgium,Historical,EV stock share,Trucks,EV,2016,percent,0.009100000374019
Belgium,Historical,EV stock share,Trucks,EV,2017,percent,0.009700000286102
Belgium,Historical,EV stock share,Cars,EV,2017,percent,0.529999971389771
Belgium,Historical,EV stock share,Vans,EV,2017,percent,0.109999999403954
Belgium,Historical,EV stock share,Buses,EV,2017,percent,0.910000026226044
Belgium,Historical,EV stock share,Buses,EV,2018,percent,1.10000002384186
Belgium,Historical,EV stock share,Vans,EV,2018,percent,0.129999995231628
Belgium,Historical,EV stock share,Cars,EV,2018,percent,0.740000009536743
Belgium,Historical,EV stock share,Trucks,EV,2018,percent,0.012000000104308
Belgium,Historical,EV stock share,Trucks,EV,2019,percent,0.012000000104308
Belgium,Historical,EV stock share,Cars,EV,2019,percent,1.0
Belgium,Historical,EV stock share,Buses,EV,2019,percent,1.39999997615814
Belgium,Historical,EV stock share,Vans,EV,2019,percent,0.170000001788139
Belgium,Historical,EV stock share,Vans,EV,2020,percent,0.219999998807907
Belgium,Historical,EV stock share,Buses,EV,2020,percent,1.79999995231628
Belgium,Historical,EV stock share,Cars,EV,2020,percent,1.79999995231628
Belgium,Historical,EV stock share,Trucks,EV,2020,percent,0.013000000268221
Belgium,Historical,EV stock share,Trucks,EV,2021,percent,0.016000000759959
Belgium,Historical,EV stock share,Cars,EV,2021,percent,2.90000009536743
Belgium,Historical,EV stock share,Buses,EV,2021,percent,2.09999990463257
Belgium,Historical,EV stock share,Vans,EV,2021,percent,0.300000011920929
Belgium,Historical,EV stock share,Vans,EV,2022,percent,0.509999990463257
Belgium,Historical,EV stock share,Buses,EV,2022,percent,2.20000004768372
Belgium,Historical,EV stock share,Cars,EV,2022,percent,4.59999990463257
Belgium,Historical,EV stock share,Trucks,EV,2022,percent,0.028000000864267
Belgium,Historical,EV stock share,Trucks,EV,2023,percent,0.170000001788139
Belgium,Historical,EV stock share,Cars,EV,2023,percent,8.19999980926514
Belgium,Historical,EV stock share,Buses,EV,2023,percent,6.0
Belgium,Historical,EV stock share,Vans,EV,2023,percent,0.889999985694885
