region,category,parameter,mode,powertrain,year,unit,value
Brazil,Historical,EV stock share,Cars,EV,2014,percent,0.000159999995958
Brazil,Historical,EV stock share,Cars,EV,2015,percent,0.000380000012228
Brazil,Historical,EV stock share,Buses,EV,2015,percent,0.00079999997979
Brazil,Historical,EV stock share,Buses,EV,2016,percent,0.000820000015665
Brazil,Historical,EV stock share,Cars,EV,2016,percent,0.00079999997979
Brazil,Historical,EV stock share,Cars,EV,2017,percent,0.001700000022538
Brazil,Historical,EV stock share,Buses,EV,2017,percent,0.001300000003539
Brazil,Historical,EV stock share,Buses,EV,2018,percent,0.004999999888241
Brazil,Historical,EV stock share,Vans,EV,2018,percent,7.5999996624887e-05
Brazil,Historical,EV stock share,Cars,EV,2018,percent,0.002499999944121
Brazil,Historical,EV stock share,Trucks,EV,2018,percent,0.001900000032038
Brazil,Historical,EV stock share,Trucks,EV,2019,percent,0.003000000026077
Brazil,Historical,EV stock share,Cars,EV,2019,percent,0.007000000216067
Brazil,Historical,EV stock share,Vans,EV,2019,percent,0.000280000007479
Brazil,Historical,EV stock share,Buses,EV,2019,percent,0.017000000923872
Brazil,Historical,EV stock share,Buses,EV,2020,percent,0.016000000759959
Brazil,Historical,EV stock share,Vans,EV,2020,percent,0.000479999987874
Brazil,Historical,EV stock share,Cars,EV,2020,percent,0.013000000268221
Brazil,Historical,EV stock share,Trucks,EV,2020,percent,0.00359999993816
Brazil,Historical,EV stock share,Trucks,EV,2021,percent,0.017000000923872
Brazil,Historical,EV stock share,Cars,EV,2021,percent,0.046000000089407
Brazil,Historical,EV stock share,Vans,EV,2021,percent,0.00289999996312
Brazil,Historical,EV stock share,Buses,EV,2021,percent,0.063000001013279
Brazil,Historical,EV stock share,Buses,EV,2022,percent,0.170000001788139
Brazil,Historical,EV stock share,Vans,EV,2022,percent,0.01799999922514
Brazil,Historical,EV stock share,Cars,EV,2022,percent,0.089000001549721
Brazil,Historical,EV stock share,Trucks,EV,2022,percent,0.046999998390675
Brazil,Historical,EV stock share,Trucks,EV,2023,percent,0.079000003635883
Brazil,Historical,EV stock share,Cars,EV,2023,percent,0.209999993443489
Brazil,Historical,EV stock share,Vans,EV,2023,percent,0.021999999880791
Brazil,Historical,EV stock share,Buses,EV,2023,percent,0.209999993443489
