region,category,parameter,mode,powertrain,year,unit,value
Canada,Historical,EV stock share,Cars,EV,2011,percent,0.00289999996312
Canada,Historical,EV stock share,Trucks,EV,2011,percent,0.000209999998333
Canada,Historical,EV stock share,Trucks,EV,2012,percent,0.000479999987874
Canada,Historical,EV stock share,Cars,EV,2012,percent,0.013000000268221
Canada,Historical,EV stock share,Cars,EV,2013,percent,0.027000000700355
Canada,Historical,EV stock share,Trucks,EV,2013,percent,0.001200000056997
Canada,Historical,EV stock share,Trucks,EV,2014,percent,0.001599999959581
Canada,Historical,EV stock share,Cars,EV,2014,percent,0.052999999374151
Canada,Historical,EV stock share,Cars,EV,2015,percent,0.083999998867512
Canada,Historical,EV stock share,Trucks,EV,2015,percent,0.002099999925122
Canada,Historical,EV stock share,Vans,EV,2015,percent,0.000209999998333
Canada,Historical,EV stock share,Vans,EV,2016,percent,0.000199999994948
Canada,Historical,EV stock share,Trucks,EV,2016,percent,0.002000000094995
Canada,Historical,EV stock share,Cars,EV,2016,percent,0.129999995231628
Canada,Historical,EV stock share,Cars,EV,2017,percent,0.209999993443489
Canada,Historical,EV stock share,Trucks,EV,2017,percent,0.001900000032038
Canada,Historical,EV stock share,Vans,EV,2017,percent,0.000190000006114
Canada,Historical,EV stock share,Vans,EV,2018,percent,0.000180000002729
Canada,Historical,EV stock share,Buses,EV,2018,percent,0.028999999165535
Canada,Historical,EV stock share,Trucks,EV,2018,percent,0.002300000051036
Canada,Historical,EV stock share,Cars,EV,2018,percent,0.379999995231628
Canada,Historical,EV stock share,Cars,EV,2019,percent,0.589999973773956
Canada,Historical,EV stock share,Vans,EV,2019,percent,0.000169999999343
Canada,Historical,EV stock share,Trucks,EV,2019,percent,0.002099999925122
Canada,Historical,EV stock share,Buses,EV,2019,percent,0.100000001490116
Canada,Historical,EV stock share,Buses,EV,2020,percent,0.370000004768372
Canada,Historical,EV stock share,Trucks,EV,2020,percent,0.000199999994948
Canada,Historical,EV stock share,Cars,EV,2020,percent,0.829999983310699
Canada,Historical,EV stock share,Cars,EV,2021,percent,1.20000004768372
Canada,Historical,EV stock share,Trucks,EV,2021,percent,0.000839999993332
Canada,Historical,EV stock share,Buses,EV,2021,percent,0.600000023841858
Canada,Historical,EV stock share,Buses,EV,2022,percent,0.97000002861023
Canada,Historical,EV stock share,Trucks,EV,2022,percent,0.032000001519919
Canada,Historical,EV stock share,Cars,EV,2022,percent,1.70000004768372
Canada,Historical,EV stock share,Cars,EV,2023,percent,2.29999995231628
Canada,Historical,EV stock share,Trucks,EV,2023,percent,0.100000001490116
Canada,Historical,EV stock share,Buses,EV,2023,percent,2.40000009536743
