region,category,parameter,mode,powertrain,year,unit,value
Chile,Historical,EV stock share,Cars,EV,2011,percent,0.000220000001718
Chile,Historical,EV stock share,Cars,EV,2012,percent,0.000380000012228
Chile,Historical,EV stock share,Cars,EV,2013,percent,0.000509999983478
Chile,Historical,EV stock share,Cars,EV,2014,percent,0.001000000047497
Chile,Historical,EV stock share,Cars,EV,2015,percent,0.002099999925122
Chile,Historical,EV stock share,Cars,EV,2016,percent,0.00289999996312
Chile,Historical,EV stock share,Cars,EV,2017,percent,0.00650000013411
Chile,Historical,EV stock share,Cars,EV,2018,percent,0.010999999940395
Chile,Historical,EV stock share,Cars,EV,2019,percent,0.017000000923872
Chile,Historical,EV stock share,Cars,EV,2020,percent,0.021999999880791
Chile,Historical,EV stock share,Cars,EV,2021,percent,0.035000000149012
Chile,Historical,EV stock share,Cars,EV,2022,percent,0.068000003695488
Chile,Historical,EV stock share,Cars,EV,2023,percent,0.086999997496605
