region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV stock share,Buses,EV,2010,percent,0.054999999701977
China,Historical,EV stock share,Vans,EV,2010,percent,0.005499999970198
China,Historical,EV stock share,Cars,EV,2010,percent,0.003100000089034
China,Historical,EV stock share,Trucks,EV,2010,percent,0.000110000000859
China,Historical,EV stock share,Trucks,EV,2011,percent,0.000769999984186
China,Historical,EV stock share,Cars,EV,2011,percent,0.009200000204146
China,Historical,EV stock share,Vans,EV,2011,percent,0.008899999782443
China,Historical,EV stock share,Buses,EV,2011,percent,0.119999997317791
China,Historical,EV stock share,Buses,EV,2012,percent,0.189999997615814
China,Historical,EV stock share,Vans,EV,2012,percent,0.014000000432134
China,Historical,EV stock share,Cars,EV,2012,percent,0.018999999389052
China,Historical,EV stock share,Trucks,EV,2012,percent,0.003199999919161
China,Historical,EV stock share,Trucks,EV,2013,percent,0.00760000012815
China,Historical,EV stock share,Cars,EV,2013,percent,0.030999999493361
China,Historical,EV stock share,Vans,EV,2013,percent,0.019999999552965
China,Historical,EV stock share,Buses,EV,2013,percent,0.28999999165535
China,Historical,EV stock share,Buses,EV,2014,percent,0.889999985694885
China,Historical,EV stock share,Vans,EV,2014,percent,0.025000000372529
China,Historical,EV stock share,Cars,EV,2014,percent,0.070000000298023
China,Historical,EV stock share,Trucks,EV,2014,percent,0.00870000012219
China,Historical,EV stock share,Trucks,EV,2015,percent,0.08500000089407
China,Historical,EV stock share,Cars,EV,2015,percent,0.209999993443489
China,Historical,EV stock share,Vans,EV,2015,percent,0.140000000596046
China,Historical,EV stock share,Buses,EV,2015,percent,3.59999990463257
China,Historical,EV stock share,Buses,EV,2016,percent,6.59999990463257
China,Historical,EV stock share,Vans,EV,2016,percent,0.469999998807907
China,Historical,EV stock share,Cars,EV,2016,percent,0.389999985694885
China,Historical,EV stock share,Trucks,EV,2016,percent,0.300000011920929
China,Historical,EV stock share,Trucks,EV,2017,percent,0.589999973773956
China,Historical,EV stock share,Cars,EV,2017,percent,0.660000026226044
China,Historical,EV stock share,Vans,EV,2017,percent,0.97000002861023
China,Historical,EV stock share,Buses,EV,2017,percent,9.39999961853027
China,Historical,EV stock share,Buses,EV,2018,percent,12.0
China,Historical,EV stock share,Vans,EV,2018,percent,1.5
China,Historical,EV stock share,Cars,EV,2018,percent,1.10000002384186
