region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,EV stock share,Vans,EV,2010,percent,0.023000000044704
Europe,Historical,EV stock share,Buses,EV,2010,percent,0.439999997615814
Europe,Historical,EV stock share,Cars,EV,2010,percent,0.003899999894202
Europe,Historical,EV stock share,Trucks,EV,2010,percent,0.016000000759959
Europe,Historical,EV stock share,Trucks,EV,2011,percent,0.014000000432134
Europe,Historical,EV stock share,Cars,EV,2011,percent,0.00789999961853
Europe,Historical,EV stock share,Buses,EV,2011,percent,0.449999988079071
Europe,Historical,EV stock share,Vans,EV,2011,percent,0.028000000864267
Europe,Historical,EV stock share,Vans,EV,2012,percent,0.0489999987185
Europe,Historical,EV stock share,Buses,EV,2012,percent,0.400000005960465
Europe,Historical,EV stock share,Cars,EV,2012,percent,0.01799999922514
Europe,Historical,EV stock share,Trucks,EV,2012,percent,0.012000000104308
Europe,Historical,EV stock share,Trucks,EV,2013,percent,0.010999999940395
Europe,Historical,EV stock share,Cars,EV,2013,percent,0.03999999910593
Europe,Historical,EV stock share,Buses,EV,2013,percent,0.360000014305115
Europe,Historical,EV stock share,Vans,EV,2013,percent,0.068999998271465
Europe,Historical,EV stock share,Vans,EV,2014,percent,0.090999998152256
Europe,Historical,EV stock share,Buses,EV,2014,percent,0.310000002384186
Europe,Historical,EV stock share,Cars,EV,2014,percent,0.074000000953674
Europe,Historical,EV stock share,Trucks,EV,2014,percent,0.009999999776483
Europe,Historical,EV stock share,Trucks,EV,2015,percent,0.009200000204146
Europe,Historical,EV stock share,Cars,EV,2015,percent,0.140000000596046
Europe,Historical,EV stock share,Vans,EV,2015,percent,0.119999997317791
Europe,Historical,EV stock share,Buses,EV,2015,percent,0.310000002384186
Europe,Historical,EV stock share,Buses,EV,2016,percent,0.360000014305115
Europe,Historical,EV stock share,Vans,EV,2016,percent,0.159999996423721
Europe,Historical,EV stock share,Cars,EV,2016,percent,0.219999998807907
Europe,Historical,EV stock share,Trucks,EV,2016,percent,0.009700000286102
Europe,Historical,EV stock share,Trucks,EV,2017,percent,0.009399999864399
Europe,Historical,EV stock share,Cars,EV,2017,percent,0.310000002384186
Europe,Historical,EV stock share,Vans,EV,2017,percent,0.200000002980232
Europe,Historical,EV stock share,Buses,EV,2017,percent,0.209999993443489
Europe,Historical,EV stock share,Buses,EV,2018,percent,0.230000004172325
Europe,Historical,EV stock share,Vans,EV,2018,percent,0.270000010728836
Europe,Historical,EV stock share,Cars,EV,2018,percent,0.449999988079071
Europe,Historical,EV stock share,Trucks,EV,2018,percent,0.014000000432134
Europe,Historical,EV stock share,Trucks,EV,2019,percent,0.010999999940395
Europe,Historical,EV stock share,Cars,EV,2019,percent,0.610000014305115
Europe,Historical,EV stock share,Vans,EV,2019,percent,0.349999994039536
Europe,Historical,EV stock share,Buses,EV,2019,percent,0.400000005960465
Europe,Projection-STEPS,EV stock share,Buses,EV,2020,percent,0.569999992847443
Europe,Projection-STEPS,EV stock share,Vans,EV,2020,percent,0.430000007152557
Europe,Projection-STEPS,EV stock share,Cars,EV,2020,percent,1.10000002384186
Europe,Projection-STEPS,EV stock share,Trucks,EV,2020,percent,0.013000000268221
Europe,Historical,EV stock share,Buses,EV,2020,percent,0.569999992847443
Europe,Historical,EV stock share,Vans,EV,2020,percent,0.430000007152557
Europe,Projection-APS,EV stock share,Cars,EV,2020,percent,1.10000002384186
Europe,Projection-APS,EV stock share,Buses,EV,2020,percent,0.569999992847443
Europe,Projection-APS,EV stock share,Vans,EV,2020,percent,0.430000007152557
Europe,Projection-APS,EV stock share,Trucks,EV,2020,percent,0.013000000268221
Europe,Historical,EV stock share,Cars,EV,2020,percent,1.10000002384186
Europe,Historical,EV stock share,Trucks,EV,2020,percent,0.013000000268221
Europe,Historical,EV stock share,Trucks,EV,2021,percent,0.028999999165535
Europe,Historical,EV stock share,Cars,EV,2021,percent,1.79999995231628
