region,category,parameter,mode,powertrain,year,unit,value
Iceland,Historical,EV stock share,Cars,EV,2010,percent,0.006699999794364
Iceland,Historical,EV stock share,Cars,EV,2011,percent,0.006699999794364
Iceland,Historical,EV stock share,Cars,EV,2012,percent,0.018999999389052
Iceland,Historical,EV stock share,Cars,EV,2013,percent,0.06700000166893
Iceland,Historical,EV stock share,Cars,EV,2014,percent,0.150000005960464
Iceland,Historical,EV stock share,Cars,EV,2015,percent,0.360000014305115
Iceland,Historical,EV stock share,Cars,EV,2016,percent,0.75
Iceland,Historical,EV stock share,Cars,EV,2017,percent,1.70000004768372
Iceland,Historical,EV stock share,Cars,EV,2018,percent,3.40000009536743
Iceland,Historical,EV stock share,Cars,EV,2019,percent,4.69999980926514
Iceland,Historical,EV stock share,Cars,EV,2020,percent,6.5
Iceland,Historical,EV stock share,Cars,EV,2021,percent,9.30000019073486
Iceland,Historical,EV stock share,Cars,EV,2022,percent,14.0
Iceland,Historical,EV stock share,Cars,EV,2023,percent,18.0
