region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV stock share,Cars,EV,2010,percent,0.004999999888241
India,Historical,EV stock share,Cars,EV,2011,percent,0.006699999794364
India,Historical,EV stock share,Cars,EV,2012,percent,0.012000000104308
India,Historical,EV stock share,Cars,EV,2013,percent,0.012000000104308
India,Historical,EV stock share,Cars,EV,2014,percent,0.013000000268221
India,Historical,EV stock share,Cars,EV,2015,percent,0.014999999664724
India,Historical,EV stock share,Buses,EV,2015,percent,0.005400000140071
India,Historical,EV stock share,Buses,EV,2016,percent,0.005200000014156
India,Historical,EV stock share,Vans,EV,2016,percent,0.003199999919161
India,Historical,EV stock share,Cars,EV,2016,percent,0.014999999664724
India,Historical,EV stock share,Cars,EV,2017,percent,0.020999999716878
India,Historical,EV stock share,Vans,EV,2017,percent,0.024000000208616
India,Historical,EV stock share,Buses,EV,2017,percent,0.005100000184029
India,Historical,EV stock share,Buses,EV,2018,percent,0.004999999888241
India,Historical,EV stock share,Vans,EV,2018,percent,0.046000000089407
India,Historical,EV stock share,Cars,EV,2018,percent,0.021999999880791
India,Historical,EV stock share,Cars,EV,2019,percent,0.021999999880791
India,Historical,EV stock share,Vans,EV,2019,percent,0.054999999701977
India,Historical,EV stock share,Buses,EV,2019,percent,0.027000000700355
India,Historical,EV stock share,Buses,EV,2020,percent,0.057000000029802
India,Historical,EV stock share,Vans,EV,2020,percent,0.065999999642372
India,Historical,EV stock share,Cars,EV,2020,percent,0.028999999165535
India,Projection-STEPS,EV stock share,Vans,EV,2020,percent,0.065999999642372
India,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.028999999165535
India,Projection-STEPS,EV stock share,Buses,EV,2020,percent,0.057000000029802
India,Projection-APS,EV stock share,Buses,EV,2020,percent,0.057000000029802
India,Projection-APS,EV stock share,Vans,EV,2020,percent,0.065999999642372
India,Projection-APS,EV stock share,Cars,EV,2020,percent,0.028999999165535
India,Projection-APS,EV stock share,Cars,EV,2021,percent,0.054000001400709
India,Projection-APS,EV stock share,Vans,EV,2021,percent,0.086000002920628
India,Projection-APS,EV stock share,Buses,EV,2021,percent,0.109999999403954
India,Projection-STEPS,EV stock share,Buses,EV,2021,percent,0.109999999403954
India,Projection-STEPS,EV stock share,Cars,EV,2021,percent,0.054000001400709
India,Projection-STEPS,EV stock share,Vans,EV,2021,percent,0.086000002920628
India,Historical,EV stock share,Cars,EV,2021,percent,0.054000001400709
India,Historical,EV stock share,Vans,EV,2021,percent,0.086000002920628
India,Historical,EV stock share,Buses,EV,2021,percent,0.109999999403954
India,Historical,EV stock share,Buses,EV,2022,percent,0.159999996423721
India,Historical,EV stock share,Vans,EV,2022,percent,0.087999999523163
India,Historical,EV stock share,Cars,EV,2022,percent,0.150000005960464
India,Projection-STEPS,EV stock share,Vans,EV,2022,percent,0.087999999523163
India,Projection-STEPS,EV stock share,Cars,EV,2022,percent,0.150000005960464
India,Projection-STEPS,EV stock share,Buses,EV,2022,percent,0.159999996423721
India,Projection-APS,EV stock share,Buses,EV,2022,percent,0.159999996423721
India,Projection-APS,EV stock share,Vans,EV,2022,percent,0.087999999523163
India,Projection-APS,EV stock share,Cars,EV,2022,percent,0.150000005960464
India,Projection-APS,EV stock share,Cars,EV,2023,percent,0.310000002384186
India,Projection-APS,EV stock share,Vans,EV,2023,percent,0.086999997496605
India,Projection-APS,EV stock share,Buses,EV,2023,percent,0.439999997615814
India,Projection-STEPS,EV stock share,Buses,EV,2023,percent,0.439999997615814
India,Projection-STEPS,EV stock share,Cars,EV,2023,percent,0.310000002384186
India,Projection-STEPS,EV stock share,Vans,EV,2023,percent,0.086999997496605
India,Historical,EV stock share,Cars,EV,2023,percent,0.310000002384186
India,Historical,EV stock share,Vans,EV,2023,percent,0.086999997496605
India,Historical,EV stock share,Buses,EV,2023,percent,0.439999997615814
India,Projection-STEPS,EV stock share,Vans,EV,2025,percent,0.259999990463257
India,Projection-STEPS,EV stock share,Cars,EV,2025,percent,1.0
India,Projection-STEPS,EV stock share,Trucks,EV,2025,percent,0.025000000372529
India,Projection-STEPS,EV stock share,Buses,EV,2025,percent,2.0
India,Projection-APS,EV stock share,Buses,EV,2025,percent,2.0
India,Projection-APS,EV stock share,Trucks,EV,2025,percent,0.054000001400709
India,Projection-APS,EV stock share,Vans,EV,2025,percent,0.330000013113022
India,Projection-APS,EV stock share,Cars,EV,2025,percent,1.0
India,Projection-APS,EV stock share,Cars,EV,2030,percent,9.0
India,Projection-APS,EV stock share,Vans,EV,2030,percent,5.0
India,Projection-APS,EV stock share,Trucks,EV,2030,percent,0.579999983310699
India,Projection-APS,EV stock share,Buses,EV,2030,percent,11.0
India,Projection-STEPS,EV stock share,Buses,EV,2030,percent,10.0
India,Projection-STEPS,EV stock share,Trucks,EV,2030,percent,0.400000005960465
India,Projection-STEPS,EV stock share,Cars,EV,2030,percent,5.0
India,Projection-STEPS,EV stock share,Vans,EV,2030,percent,2.0
India,Projection-STEPS,EV stock share,Vans,EV,2035,percent,7.0
India,Projection-STEPS,EV stock share,Cars,EV,2035,percent,12.0
India,Projection-STEPS,EV stock share,Trucks,EV,2035,percent,1.0
India,Projection-STEPS,EV stock share,Buses,EV,2035,percent,25.0
India,Projection-APS,EV stock share,Buses,EV,2035,percent,25.0
India,Projection-APS,EV stock share,Trucks,EV,2035,percent,2.0
India,Projection-APS,EV stock share,Vans,EV,2035,percent,23.0
India,Projection-APS,EV stock share,Cars,EV,2035,percent,23.0
