region,category,parameter,mode,powertrain,year,unit,value
Korea,Historical,EV stock share,Buses,EV,2010,percent,0.000869999988936
Korea,Historical,EV stock share,Cars,EV,2010,percent,0.000399999989895
Korea,Historical,EV stock share,Cars,EV,2011,percent,0.002199999988079
Korea,Historical,EV stock share,Buses,EV,2011,percent,0.001700000022538
Korea,Historical,EV stock share,Buses,EV,2012,percent,0.002099999925122
Korea,Historical,EV stock share,Cars,EV,2012,percent,0.005400000140071
Korea,Historical,EV stock share,Cars,EV,2013,percent,0.009100000374019
Korea,Historical,EV stock share,Buses,EV,2013,percent,0.003400000045076
Korea,Historical,EV stock share,Buses,EV,2014,percent,0.004100000020117
Korea,Historical,EV stock share,Cars,EV,2014,percent,0.017000000923872
Korea,Historical,EV stock share,Cars,EV,2015,percent,0.035999998450279
Korea,Historical,EV stock share,Buses,EV,2015,percent,0.004499999806285
Korea,Historical,EV stock share,Vans,EV,2015,percent,0.000750000006519
Korea,Historical,EV stock share,Vans,EV,2016,percent,0.001300000003539
Korea,Historical,EV stock share,Buses,EV,2016,percent,0.010999999940395
Korea,Historical,EV stock share,Cars,EV,2016,percent,0.064000003039837
Korea,Historical,EV stock share,Cars,EV,2017,percent,0.140000000596046
Korea,Historical,EV stock share,Buses,EV,2017,percent,0.009499999694526
Korea,Historical,EV stock share,Vans,EV,2017,percent,0.001300000003539
Korea,Historical,EV stock share,Vans,EV,2018,percent,0.013000000268221
Korea,Historical,EV stock share,Buses,EV,2018,percent,0.017000000923872
Korea,Historical,EV stock share,Cars,EV,2018,percent,0.330000013113022
Korea,Historical,EV stock share,Cars,EV,2019,percent,0.529999971389771
Korea,Historical,EV stock share,Buses,EV,2019,percent,0.032999999821186
Korea,Historical,EV stock share,Vans,EV,2019,percent,0.072999998927116
Korea,Historical,EV stock share,Vans,EV,2020,percent,0.629999995231628
Korea,Historical,EV stock share,Buses,EV,2020,percent,0.259999990463257
Korea,Historical,EV stock share,Cars,EV,2020,percent,0.740000009536743
Korea,Historical,EV stock share,Cars,EV,2021,percent,1.20000004768372
Korea,Historical,EV stock share,Buses,EV,2021,percent,0.400000005960465
Korea,Historical,EV stock share,Vans,EV,2021,percent,1.70000004768372
Korea,Historical,EV stock share,Vans,EV,2022,percent,2.90000009536743
Korea,Historical,EV stock share,Buses,EV,2022,percent,0.560000002384186
Korea,Historical,EV stock share,Cars,EV,2022,percent,1.70000004768372
Korea,Historical,EV stock share,Cars,EV,2023,percent,2.40000009536743
Korea,Historical,EV stock share,Buses,EV,2023,percent,0.409999996423721
Korea,Historical,EV stock share,Vans,EV,2023,percent,4.19999980926514
