region,category,parameter,mode,powertrain,year,unit,value
Poland,Historical,EV stock share,Vans,EV,2015,percent,0.000739999988582
Poland,Historical,EV stock share,Buses,EV,2015,percent,0.023000000044704
Poland,Historical,EV stock share,Cars,EV,2015,percent,0.012000000104308
Poland,Historical,EV stock share,Cars,EV,2016,percent,0.017000000923872
Poland,Historical,EV stock share,Buses,EV,2016,percent,0.054999999701977
Poland,Historical,EV stock share,Vans,EV,2016,percent,0.00109999999404
Poland,Historical,EV stock share,Vans,EV,2017,percent,0.001300000003539
Poland,Historical,EV stock share,Buses,EV,2017,percent,0.054999999701977
Poland,Historical,EV stock share,Cars,EV,2017,percent,0.014000000432134
Poland,Historical,EV stock share,Cars,EV,2018,percent,0.020999999716878
Poland,Historical,EV stock share,Buses,EV,2018,percent,0.150000005960464
Poland,Historical,EV stock share,Vans,EV,2018,percent,0.005799999926239
Poland,Historical,EV stock share,Vans,EV,2019,percent,0.021999999880791
Poland,Historical,EV stock share,Buses,EV,2019,percent,0.389999985694885
Poland,Historical,EV stock share,Cars,EV,2019,percent,0.046999998390675
Poland,Historical,EV stock share,Cars,EV,2020,percent,0.094999998807907
Poland,Historical,EV stock share,Buses,EV,2020,percent,0.709999978542328
Poland,Historical,EV stock share,Vans,EV,2020,percent,0.035999998450279
Poland,Historical,EV stock share,Vans,EV,2021,percent,0.063000001013279
Poland,Historical,EV stock share,Buses,EV,2021,percent,0.959999978542328
Poland,Historical,EV stock share,Cars,EV,2021,percent,0.189999997615814
Poland,Historical,EV stock share,Cars,EV,2022,percent,0.310000002384186
Poland,Historical,EV stock share,Buses,EV,2022,percent,1.29999995231628
Poland,Historical,EV stock share,Vans,EV,2022,percent,0.129999995231628
Poland,Historical,EV stock share,Vans,EV,2023,percent,0.239999994635582
Poland,Historical,EV stock share,Buses,EV,2023,percent,1.79999995231628
Poland,Historical,EV stock share,Cars,EV,2023,percent,0.490000009536743
