region,category,parameter,mode,powertrain,year,unit,value
Switzerland,Historical,EV stock share,Cars,EV,2011,percent,0.009999999776483
Switzerland,Historical,EV stock share,Cars,EV,2012,percent,0.028000000864267
Switzerland,Historical,EV stock share,Vans,EV,2012,percent,0.03999999910593
Switzerland,Historical,EV stock share,Vans,EV,2013,percent,0.071999996900559
Switzerland,Historical,EV stock share,Cars,EV,2013,percent,0.05799999833107
Switzerland,Historical,EV stock share,Cars,EV,2014,percent,0.119999997317791
Switzerland,Historical,EV stock share,Vans,EV,2014,percent,0.08500000089407
Switzerland,Historical,EV stock share,Vans,EV,2015,percent,0.129999995231628
Switzerland,Historical,EV stock share,Cars,EV,2015,percent,0.25
Switzerland,Historical,EV stock share,Buses,EV,2015,percent,0.129999995231628
Switzerland,Historical,EV stock share,Buses,EV,2016,percent,0.219999998807907
Switzerland,Historical,EV stock share,Cars,EV,2016,percent,0.360000014305115
Switzerland,Historical,EV stock share,Vans,EV,2016,percent,0.150000005960464
Switzerland,Historical,EV stock share,Vans,EV,2017,percent,0.170000001788139
Switzerland,Historical,EV stock share,Cars,EV,2017,percent,0.540000021457672
Switzerland,Historical,EV stock share,Buses,EV,2017,percent,0.490000009536743
Switzerland,Historical,EV stock share,Buses,EV,2018,percent,0.589999973773956
Switzerland,Historical,EV stock share,Cars,EV,2018,percent,0.769999980926514
Switzerland,Historical,EV stock share,Vans,EV,2018,percent,0.259999990463257
Switzerland,Historical,EV stock share,Vans,EV,2019,percent,0.409999996423721
Switzerland,Historical,EV stock share,Cars,EV,2019,percent,1.10000002384186
Switzerland,Historical,EV stock share,Buses,EV,2019,percent,0.680000007152557
Switzerland,Historical,EV stock share,Buses,EV,2020,percent,1.0
Switzerland,Historical,EV stock share,Cars,EV,2020,percent,1.79999995231628
Switzerland,Historical,EV stock share,Vans,EV,2020,percent,0.579999983310699
Switzerland,Historical,EV stock share,Vans,EV,2021,percent,0.920000016689301
Switzerland,Historical,EV stock share,Cars,EV,2021,percent,2.90000009536743
Switzerland,Historical,EV stock share,Buses,EV,2021,percent,1.39999997615814
Switzerland,Historical,EV stock share,Trucks,EV,2022,percent,0.610000014305115
Switzerland,Historical,EV stock share,Buses,EV,2022,percent,2.0
Switzerland,Historical,EV stock share,Cars,EV,2022,percent,4.19999980926514
Switzerland,Historical,EV stock share,Vans,EV,2022,percent,1.60000002384186
Switzerland,Historical,EV stock share,Vans,EV,2023,percent,2.29999995231628
Switzerland,Historical,EV stock share,Cars,EV,2023,percent,5.80000019073486
Switzerland,Historical,EV stock share,Buses,EV,2023,percent,2.5
Switzerland,Historical,EV stock share,Trucks,EV,2023,percent,1.20000004768372
