region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,EV stock share,Cars,EV,2010,percent,0.001700000022538
USA,Historical,EV stock share,Buses,EV,2011,percent,0.028999999165535
USA,Historical,EV stock share,Cars,EV,2011,percent,0.009899999946356
USA,Historical,EV stock share,Cars,EV,2012,percent,0.034000001847744
USA,Historical,EV stock share,Buses,EV,2012,percent,0.026000000536442
USA,Historical,EV stock share,Buses,EV,2013,percent,0.024000000208616
USA,Historical,EV stock share,Cars,EV,2013,percent,0.078000001609325
USA,Historical,EV stock share,Cars,EV,2014,percent,0.140000000596046
USA,Historical,EV stock share,Buses,EV,2014,percent,0.027000000700355
USA,Historical,EV stock share,Buses,EV,2015,percent,0.097000002861023
USA,Historical,EV stock share,Cars,EV,2015,percent,0.189999997615814
USA,Historical,EV stock share,Cars,EV,2016,percent,0.259999990463257
USA,Historical,EV stock share,Buses,EV,2016,percent,0.140000000596046
USA,Historical,EV stock share,Buses,EV,2017,percent,0.159999996423721
USA,Historical,EV stock share,Cars,EV,2017,percent,0.330000013113022
USA,Historical,EV stock share,Cars,EV,2018,percent,0.479999989271164
USA,Historical,EV stock share,Buses,EV,2018,percent,0.219999998807907
USA,Historical,EV stock share,Buses,EV,2019,percent,0.310000002384186
USA,Historical,EV stock share,Cars,EV,2019,percent,0.620000004768372
USA,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.769999980926514
USA,Projection-STEPS,EV stock share,Buses,EV,2020,percent,0.340000003576279
USA,Projection-APS,EV stock share,Cars,EV,2020,percent,0.769999980926514
USA,Projection-APS,EV stock share,Buses,EV,2020,percent,0.340000003576279
USA,Historical,EV stock share,Cars,EV,2020,percent,0.769999980926514
USA,Historical,EV stock share,Buses,EV,2020,percent,0.340000003576279
USA,Historical,EV stock share,Buses,EV,2021,percent,0.46000000834465
USA,Historical,EV stock share,Cars,EV,2021,percent,0.949999988079071
USA,Projection-APS,EV stock share,Buses,EV,2021,percent,0.46000000834465
USA,Projection-APS,EV stock share,Cars,EV,2021,percent,0.949999988079071
USA,Projection-STEPS,EV stock share,Buses,EV,2021,percent,0.46000000834465
USA,Projection-STEPS,EV stock share,Cars,EV,2021,percent,0.949999988079071
USA,Projection-STEPS,EV stock share,Cars,EV,2022,percent,1.29999995231628
USA,Projection-STEPS,EV stock share,Buses,EV,2022,percent,0.769999980926514
USA,Projection-APS,EV stock share,Cars,EV,2022,percent,1.29999995231628
USA,Projection-APS,EV stock share,Buses,EV,2022,percent,0.769999980926514
USA,Historical,EV stock share,Cars,EV,2022,percent,1.29999995231628
USA,Historical,EV stock share,Buses,EV,2022,percent,0.769999980926514
USA,Historical,EV stock share,Buses,EV,2023,percent,0.920000016689301
USA,Historical,EV stock share,Cars,EV,2023,percent,2.09999990463257
USA,Projection-APS,EV stock share,Buses,EV,2023,percent,0.920000016689301
USA,Projection-APS,EV stock share,Cars,EV,2023,percent,2.09999990463257
USA,Projection-STEPS,EV stock share,Buses,EV,2023,percent,0.920000016689301
USA,Projection-STEPS,EV stock share,Cars,EV,2023,percent,2.09999990463257
USA,Projection-STEPS,EV stock share,Cars,EV,2025,percent,4.0
USA,Projection-STEPS,EV stock share,Trucks,EV,2025,percent,0.170000001788139
USA,Projection-STEPS,EV stock share,Vans,EV,2025,percent,2.0
USA,Projection-STEPS,EV stock share,Buses,EV,2025,percent,4.0
USA,Projection-APS,EV stock share,Trucks,EV,2025,percent,0.449999988079071
USA,Projection-APS,EV stock share,Cars,EV,2025,percent,4.0
USA,Projection-APS,EV stock share,Vans,EV,2025,percent,2.0
USA,Projection-APS,EV stock share,Buses,EV,2025,percent,4.0
USA,Projection-APS,EV stock share,Buses,EV,2030,percent,21.0
USA,Projection-APS,EV stock share,Vans,EV,2030,percent,15.0
USA,Projection-APS,EV stock share,Cars,EV,2030,percent,17.0
USA,Projection-APS,EV stock share,Trucks,EV,2030,percent,5.0
USA,Projection-STEPS,EV stock share,Buses,EV,2030,percent,20.0
USA,Projection-STEPS,EV stock share,Vans,EV,2030,percent,15.0
USA,Projection-STEPS,EV stock share,Trucks,EV,2030,percent,3.0
USA,Projection-STEPS,EV stock share,Cars,EV,2030,percent,17.0
USA,Projection-STEPS,EV stock share,Cars,EV,2035,percent,36.0
USA,Projection-STEPS,EV stock share,Trucks,EV,2035,percent,13.0
USA,Projection-STEPS,EV stock share,Vans,EV,2035,percent,44.0
USA,Projection-STEPS,EV stock share,Buses,EV,2035,percent,45.0
USA,Projection-APS,EV stock share,Trucks,EV,2035,percent,18.0
USA,Projection-APS,EV stock share,Cars,EV,2035,percent,36.0
USA,Projection-APS,EV stock share,Vans,EV,2035,percent,44.0
USA,Projection-APS,EV stock share,Buses,EV,2035,percent,52.0
