region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0
