region,category,parameter,mode,powertrain,year,unit,value
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780.0
Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500.0
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300.0
Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,8000.0
Austria,Historical,EV stock,Cars,PHEV,2020,Vehicles,15000.0
Austria,Historical,EV stock,Cars,PHEV,2021,Vehicles,29000.0
Austria,Historical,EV stock,Cars,PHEV,2022,Vehicles,42000.0
Austria,Historical,EV stock,Cars,PHEV,2023,Vehicles,61000.0
Austria,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0
Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,6.0
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13.0
Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,19.0
Austria,Historical,EV stock,Cars,FCEV,2018,Vehicles,24.0
Austria,Historical,EV stock,Cars,FCEV,2019,Vehicles,41.0
Austria,Historical,EV stock,Cars,FCEV,2020,Vehicles,45.0
Austria,Historical,EV stock,Cars,FCEV,2021,Vehicles,55.0
Austria,Historical,EV stock,Cars,FCEV,2022,Vehicles,62.0
Austria,Historical,EV stock,Cars,FCEV,2023,Vehicles,89.0
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350.0
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400.0
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0
Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000.0
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100.0
Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000.0
Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0
Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,30000.0
Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,45000.0
Austria,Historical,EV stock,Cars,BEV,2021,Vehicles,77000.0
Austria,Historical,EV stock,Cars,BEV,2022,Vehicles,110000.0
Austria,Historical,EV stock,Cars,BEV,2023,Vehicles,160000.0
