region,category,parameter,mode,powertrain,year,unit,value
Brazil,Historical,EV stock,Cars,PHEV,2015,Vehicles,28.0
Brazil,Historical,EV stock,Cars,PHEV,2016,Vehicles,75.0
Brazil,Historical,EV stock,Cars,PHEV,2017,Vehicles,360.0
Brazil,Historical,EV stock,Cars,PHEV,2018,Vehicles,700.0
Brazil,Historical,EV stock,Cars,PHEV,2019,Vehicles,2100.0
Brazil,Historical,EV stock,Cars,PHEV,2020,Vehicles,3800.0
Brazil,Historical,EV stock,Cars,PHEV,2021,Vehicles,15000.0
Brazil,Historical,EV stock,Cars,PHEV,2022,Vehicles,26000.0
Brazil,Historical,EV stock,Cars,PHEV,2023,Vehicles,59000.0
Brazil,Historical,EV stock,Buses,FCEV,2020,Vehicles,1.0
Brazil,Historical,EV stock,Cars,FCEV,2021,Vehicles,1.0
Brazil,Historical,EV stock,Buses,FCEV,2021,Vehicles,1.0
Brazil,Historical,EV stock,Buses,FCEV,2022,Vehicles,2.0
Brazil,Historical,EV stock,Cars,FCEV,2022,Vehicles,3.0
Brazil,Historical,EV stock,Cars,FCEV,2023,Vehicles,3.0
Brazil,Historical,EV stock,Buses,FCEV,2023,Vehicles,3.0
Brazil,Historical,EV stock,Cars,BEV,2014,Vehicles,61.0
Brazil,Historical,EV stock,Cars,BEV,2015,Vehicles,120.0
Brazil,Historical,EV stock,Buses,BEV,2015,Vehicles,5.0
Brazil,Historical,EV stock,Buses,BEV,2016,Vehicles,5.0
Brazil,Historical,EV stock,Cars,BEV,2016,Vehicles,250.0
Brazil,Historical,EV stock,Cars,BEV,2017,Vehicles,320.0
Brazil,Historical,EV stock,Buses,BEV,2017,Vehicles,8.0
Brazil,Historical,EV stock,Buses,BEV,2018,Vehicles,30.0
Brazil,Historical,EV stock,Trucks,BEV,2018,Vehicles,40.0
Brazil,Historical,EV stock,Vans,BEV,2018,Vehicles,4.0
Brazil,Historical,EV stock,Cars,BEV,2018,Vehicles,350.0
Brazil,Historical,EV stock,Cars,BEV,2019,Vehicles,890.0
Brazil,Historical,EV stock,Vans,BEV,2019,Vehicles,15.0
Brazil,Historical,EV stock,Trucks,BEV,2019,Vehicles,63.0
Brazil,Historical,EV stock,Buses,BEV,2019,Vehicles,99.0
Brazil,Historical,EV stock,Buses,BEV,2020,Vehicles,95.0
Brazil,Historical,EV stock,Trucks,BEV,2020,Vehicles,78.0
Brazil,Historical,EV stock,Vans,BEV,2020,Vehicles,27.0
Brazil,Historical,EV stock,Cars,BEV,2020,Vehicles,1600.0
Brazil,Historical,EV stock,Cars,BEV,2021,Vehicles,4400.0
Brazil,Historical,EV stock,Vans,BEV,2021,Vehicles,170.0
Brazil,Historical,EV stock,Trucks,BEV,2021,Vehicles,370.0
Brazil,Historical,EV stock,Buses,BEV,2021,Vehicles,360.0
Brazil,Historical,EV stock,Buses,BEV,2022,Vehicles,950.0
Brazil,Historical,EV stock,Trucks,BEV,2022,Vehicles,1100.0
Brazil,Historical,EV stock,Vans,BEV,2022,Vehicles,1100.0
Brazil,Historical,EV stock,Cars,BEV,2022,Vehicles,13000.0
Brazil,Historical,EV stock,Cars,BEV,2023,Vehicles,33000.0
Brazil,Historical,EV stock,Vans,BEV,2023,Vehicles,1500.0
Brazil,Historical,EV stock,Trucks,BEV,2023,Vehicles,1900.0
Brazil,Historical,EV stock,Buses,BEV,2023,Vehicles,1200.0
