region,category,parameter,mode,powertrain,year,unit,value
Denmark,Historical,EV stock,Cars,PHEV,2010,Vehicles,20.0
Denmark,Historical,EV stock,Cars,PHEV,2011,Vehicles,20.0
Denmark,Historical,EV stock,Cars,PHEV,2012,Vehicles,14.0
Denmark,Historical,EV stock,Vans,PHEV,2012,Vehicles,9.0
Denmark,Historical,EV stock,Vans,PHEV,2013,Vehicles,12.0
Denmark,Historical,EV stock,Cars,PHEV,2013,Vehicles,14.0
Denmark,Historical,EV stock,Cars,PHEV,2014,Vehicles,100.0
Denmark,Historical,EV stock,Vans,PHEV,2014,Vehicles,14.0
Denmark,Historical,EV stock,Vans,PHEV,2015,Vehicles,100.0
Denmark,Historical,EV stock,Cars,PHEV,2015,Vehicles,570.0
Denmark,Historical,EV stock,Cars,PHEV,2016,Vehicles,1100.0
Denmark,Historical,EV stock,Vans,PHEV,2016,Vehicles,180.0
Denmark,Historical,EV stock,Vans,PHEV,2017,Vehicles,200.0
Denmark,Historical,EV stock,Cars,PHEV,2017,Vehicles,1800.0
Denmark,Historical,EV stock,Cars,PHEV,2018,Vehicles,5200.0
Denmark,Historical,EV stock,Vans,PHEV,2018,Vehicles,230.0
Denmark,Historical,EV stock,Cars,PHEV,2019,Vehicles,9900.0
Denmark,Historical,EV stock,Vans,PHEV,2019,Vehicles,260.0
Denmark,Historical,EV stock,Buses,PHEV,2019,Vehicles,24.0
Denmark,Historical,EV stock,Vans,PHEV,2020,Vehicles,430.0
Denmark,Historical,EV stock,Cars,PHEV,2020,Vehicles,30000.0
Denmark,Historical,EV stock,Buses,PHEV,2020,Vehicles,23.0
Denmark,Historical,EV stock,Buses,PHEV,2021,Vehicles,24.0
Denmark,Historical,EV stock,Cars,PHEV,2021,Vehicles,78000.0
Denmark,Historical,EV stock,Vans,PHEV,2021,Vehicles,780.0
Denmark,Historical,EV stock,Cars,PHEV,2022,Vehicles,100000.0
Denmark,Historical,EV stock,Vans,PHEV,2022,Vehicles,1200.0
Denmark,Historical,EV stock,Buses,PHEV,2022,Vehicles,26.0
Denmark,Historical,EV stock,Buses,PHEV,2023,Vehicles,17.0
Denmark,Historical,EV stock,Vans,PHEV,2023,Vehicles,1500.0
Denmark,Historical,EV stock,Cars,PHEV,2023,Vehicles,110000.0
Denmark,Historical,EV stock,Cars,FCEV,2015,Vehicles,37.0
Denmark,Historical,EV stock,Cars,FCEV,2016,Vehicles,68.0
Denmark,Historical,EV stock,Cars,FCEV,2017,Vehicles,83.0
Denmark,Historical,EV stock,Cars,FCEV,2018,Vehicles,88.0
Denmark,Historical,EV stock,Cars,FCEV,2019,Vehicles,100.0
Denmark,Historical,EV stock,Buses,FCEV,2020,Vehicles,3.0
Denmark,Historical,EV stock,Cars,FCEV,2020,Vehicles,150.0
Denmark,Historical,EV stock,Vans,FCEV,2020,Vehicles,1.0
Denmark,Historical,EV stock,Vans,FCEV,2021,Vehicles,3.0
Denmark,Historical,EV stock,Cars,FCEV,2021,Vehicles,230.0
Denmark,Historical,EV stock,Buses,FCEV,2021,Vehicles,4.0
Denmark,Historical,EV stock,Buses,FCEV,2022,Vehicles,4.0
Denmark,Historical,EV stock,Cars,FCEV,2022,Vehicles,230.0
Denmark,Historical,EV stock,Vans,FCEV,2022,Vehicles,2.0
Denmark,Historical,EV stock,Vans,FCEV,2023,Vehicles,2.0
Denmark,Historical,EV stock,Cars,FCEV,2023,Vehicles,230.0
Denmark,Historical,EV stock,Trucks,FCEV,2023,Vehicles,3.0
Denmark,Historical,EV stock,Buses,FCEV,2023,Vehicles,3.0
Denmark,Historical,EV stock,Trucks,BEV,2010,Vehicles,9.0
Denmark,Historical,EV stock,Cars,BEV,2010,Vehicles,59.0
Denmark,Historical,EV stock,Vans,BEV,2010,Vehicles,6.0
Denmark,Historical,EV stock,Vans,BEV,2011,Vehicles,29.0
Denmark,Historical,EV stock,Cars,BEV,2011,Vehicles,480.0
