region,category,parameter,mode,powertrain,year,unit,value
EU27,Historical,EV stock,Vans,PHEV,2010,Vehicles,210.0
EU27,Historical,EV stock,Cars,PHEV,2010,Vehicles,40.0
EU27,Historical,EV stock,Cars,PHEV,2011,Vehicles,430.0
EU27,Historical,EV stock,Vans,PHEV,2011,Vehicles,260.0
EU27,Historical,EV stock,Vans,PHEV,2012,Vehicles,310.0
EU27,Historical,EV stock,Cars,PHEV,2012,Vehicles,7900.0
EU27,Historical,EV stock,Cars,PHEV,2013,Vehicles,33000.0
EU27,Historical,EV stock,Vans,PHEV,2013,Vehicles,370.0
EU27,Historical,EV stock,Vans,PHEV,2014,Vehicles,450.0
EU27,Historical,EV stock,Buses,PHEV,2014,Vehicles,32.0
EU27,Historical,EV stock,Cars,PHEV,2014,Vehicles,57000.0
EU27,Historical,EV stock,Cars,PHEV,2015,Vehicles,130000.0
EU27,Historical,EV stock,Buses,PHEV,2015,Vehicles,110.0
EU27,Historical,EV stock,Vans,PHEV,2015,Vehicles,740.0
EU27,Historical,EV stock,Trucks,PHEV,2015,Vehicles,36.0
EU27,Historical,EV stock,Trucks,PHEV,2016,Vehicles,39.0
EU27,Historical,EV stock,Vans,PHEV,2016,Vehicles,1200.0
EU27,Historical,EV stock,Buses,PHEV,2016,Vehicles,310.0
EU27,Historical,EV stock,Cars,PHEV,2016,Vehicles,190000.0
EU27,Historical,EV stock,Cars,PHEV,2017,Vehicles,290000.0
EU27,Historical,EV stock,Buses,PHEV,2017,Vehicles,400.0
EU27,Historical,EV stock,Vans,PHEV,2017,Vehicles,1800.0
EU27,Historical,EV stock,Trucks,PHEV,2017,Vehicles,52.0
EU27,Historical,EV stock,Trucks,PHEV,2018,Vehicles,66.0
EU27,Historical,EV stock,Vans,PHEV,2018,Vehicles,2700.0
EU27,Historical,EV stock,Buses,PHEV,2018,Vehicles,500.0
EU27,Historical,EV stock,Cars,PHEV,2018,Vehicles,390000.0
EU27,Historical,EV stock,Cars,PHEV,2019,Vehicles,500000.0
EU27,Historical,EV stock,Buses,PHEV,2019,Vehicles,690.0
EU27,Historical,EV stock,Vans,PHEV,2019,Vehicles,4600.0
EU27,Historical,EV stock,Trucks,PHEV,2019,Vehicles,57.0
EU27,Historical,EV stock,Trucks,PHEV,2020,Vehicles,51.0
EU27,Historical,EV stock,Vans,PHEV,2020,Vehicles,6100.0
EU27,Historical,EV stock,Buses,PHEV,2020,Vehicles,700.0
EU27,Historical,EV stock,Cars,PHEV,2020,Vehicles,990000.0
EU27,Historical,EV stock,Cars,PHEV,2021,Vehicles,1900000.0
EU27,Historical,EV stock,Buses,PHEV,2021,Vehicles,940.0
