region,category,parameter,mode,powertrain,year,unit,value
Finland,Historical,EV stock,Cars,PHEV,2012,Vehicles,130.0
Finland,Historical,EV stock,Cars,PHEV,2013,Vehicles,300.0
Finland,Historical,EV stock,Cars,PHEV,2014,Vehicles,570.0
Finland,Historical,EV stock,Cars,PHEV,2015,Vehicles,970.0
Finland,Historical,EV stock,Cars,PHEV,2016,Vehicles,2400.0
Finland,Historical,EV stock,Buses,PHEV,2016,Vehicles,13.0
Finland,Historical,EV stock,Buses,PHEV,2017,Vehicles,22.0
Finland,Historical,EV stock,Cars,PHEV,2017,Vehicles,5700.0
Finland,Historical,EV stock,Cars,PHEV,2018,Vehicles,13000.0
Finland,Historical,EV stock,Buses,PHEV,2018,Vehicles,21.0
Finland,Historical,EV stock,Buses,PHEV,2019,Vehicles,62.0
Finland,Historical,EV stock,Cars,PHEV,2019,Vehicles,25000.0
Finland,Historical,EV stock,Vans,PHEV,2019,Vehicles,39.0
Finland,Historical,EV stock,Vans,PHEV,2020,Vehicles,110.0
Finland,Historical,EV stock,Cars,PHEV,2020,Vehicles,46000.0
Finland,Historical,EV stock,Buses,PHEV,2021,Vehicles,2.0
Finland,Historical,EV stock,Cars,PHEV,2021,Vehicles,77000.0
Finland,Historical,EV stock,Vans,PHEV,2021,Vehicles,180.0
Finland,Historical,EV stock,Vans,PHEV,2022,Vehicles,260.0
Finland,Historical,EV stock,Cars,PHEV,2022,Vehicles,100000.0
Finland,Historical,EV stock,Buses,PHEV,2022,Vehicles,2.0
Finland,Historical,EV stock,Buses,PHEV,2023,Vehicles,2.0
Finland,Historical,EV stock,Cars,PHEV,2023,Vehicles,140000.0
Finland,Historical,EV stock,Vans,PHEV,2023,Vehicles,290.0
Finland,Historical,EV stock,Cars,FCEV,2019,Vehicles,1.0
Finland,Historical,EV stock,Cars,FCEV,2020,Vehicles,1.0
Finland,Historical,EV stock,Cars,FCEV,2021,Vehicles,1.0
Finland,Historical,EV stock,Cars,FCEV,2022,Vehicles,2.0
Finland,Historical,EV stock,Cars,FCEV,2023,Vehicles,2.0
Finland,Historical,EV stock,Cars,BEV,2011,Vehicles,56.0
Finland,Historical,EV stock,Cars,BEV,2012,Vehicles,110.0
Finland,Historical,EV stock,Cars,BEV,2013,Vehicles,170.0
Finland,Historical,EV stock,Cars,BEV,2014,Vehicles,360.0
Finland,Historical,EV stock,Cars,BEV,2015,Vehicles,610.0
Finland,Historical,EV stock,Cars,BEV,2016,Vehicles,840.0
Finland,Historical,EV stock,Buses,BEV,2016,Vehicles,13.0
Finland,Historical,EV stock,Vans,BEV,2017,Vehicles,210.0
Finland,Historical,EV stock,Buses,BEV,2017,Vehicles,22.0
Finland,Historical,EV stock,Cars,BEV,2017,Vehicles,1400.0
Finland,Historical,EV stock,Cars,BEV,2018,Vehicles,2400.0
Finland,Historical,EV stock,Buses,BEV,2018,Vehicles,21.0
Finland,Historical,EV stock,Vans,BEV,2018,Vehicles,260.0
Finland,Historical,EV stock,Vans,BEV,2019,Vehicles,310.0
Finland,Historical,EV stock,Buses,BEV,2019,Vehicles,62.0
Finland,Historical,EV stock,Trucks,BEV,2019,Vehicles,2.0
Finland,Historical,EV stock,Cars,BEV,2019,Vehicles,4700.0
Finland,Historical,EV stock,Cars,BEV,2020,Vehicles,9700.0
Finland,Historical,EV stock,Trucks,BEV,2020,Vehicles,7.0
Finland,Historical,EV stock,Buses,BEV,2020,Vehicles,87.0
Finland,Historical,EV stock,Vans,BEV,2020,Vehicles,440.0
Finland,Historical,EV stock,Vans,BEV,2021,Vehicles,800.0
Finland,Historical,EV stock,Buses,BEV,2021,Vehicles,270.0
Finland,Historical,EV stock,Trucks,BEV,2021,Vehicles,9.0
Finland,Historical,EV stock,Cars,BEV,2021,Vehicles,23000.0
Finland,Historical,EV stock,Cars,BEV,2022,Vehicles,45000.0
Finland,Historical,EV stock,Trucks,BEV,2022,Vehicles,25.0
Finland,Historical,EV stock,Buses,BEV,2022,Vehicles,550.0
Finland,Historical,EV stock,Vans,BEV,2022,Vehicles,1600.0
Finland,Historical,EV stock,Vans,BEV,2023,Vehicles,3200.0
Finland,Historical,EV stock,Buses,BEV,2023,Vehicles,640.0
Finland,Historical,EV stock,Trucks,BEV,2023,Vehicles,110.0
Finland,Historical,EV stock,Cars,BEV,2023,Vehicles,84000.0
