region,category,parameter,mode,powertrain,year,unit,value
Greece,Historical,EV stock,Cars,PHEV,2015,Vehicles,22.0
Greece,Historical,EV stock,Cars,PHEV,2016,Vehicles,78.0
Greece,Historical,EV stock,Cars,PHEV,2017,Vehicles,220.0
Greece,Historical,EV stock,Cars,PHEV,2018,Vehicles,440.0
Greece,Historical,EV stock,Cars,PHEV,2019,Vehicles,730.0
Greece,Historical,EV stock,Cars,PHEV,2020,Vehicles,2200.0
Greece,Historical,EV stock,Cars,PHEV,2021,Vehicles,7000.0
Greece,Historical,EV stock,Cars,PHEV,2022,Vehicles,12000.0
Greece,Historical,EV stock,Cars,PHEV,2023,Vehicles,21000.0
Greece,Historical,EV stock,Cars,BEV,2013,Vehicles,3.0
Greece,Historical,EV stock,Cars,BEV,2014,Vehicles,42.0
Greece,Historical,EV stock,Cars,BEV,2015,Vehicles,97.0
Greece,Historical,EV stock,Cars,BEV,2016,Vehicles,140.0
Greece,Historical,EV stock,Cars,BEV,2017,Vehicles,190.0
Greece,Historical,EV stock,Cars,BEV,2018,Vehicles,280.0
Greece,Historical,EV stock,Cars,BEV,2019,Vehicles,470.0
Greece,Historical,EV stock,Cars,BEV,2020,Vehicles,1100.0
Greece,Historical,EV stock,Cars,BEV,2021,Vehicles,3300.0
Greece,Historical,EV stock,Cars,BEV,2022,Vehicles,7400.0
Greece,Historical,EV stock,Cars,BEV,2023,Vehicles,13000.0
