region,category,parameter,mode,powertrain,year,unit,value
Israel,Historical,EV stock,Cars,PHEV,2012,Vehicles,1.0
Israel,Historical,EV stock,Cars,PHEV,2013,Vehicles,18.0
Israel,Historical,EV stock,Cars,PHEV,2014,Vehicles,70.0
Israel,Historical,EV stock,Cars,PHEV,2015,Vehicles,140.0
Israel,Historical,EV stock,Cars,PHEV,2016,Vehicles,200.0
Israel,Historical,EV stock,Cars,PHEV,2017,Vehicles,1700.0
Israel,Historical,EV stock,Cars,PHEV,2018,Vehicles,5300.0
Israel,Historical,EV stock,Cars,PHEV,2019,Vehicles,9200.0
Israel,Historical,EV stock,Cars,PHEV,2020,Vehicles,15000.0
Israel,Historical,EV stock,Cars,PHEV,2021,Vehicles,28000.0
Israel,Historical,EV stock,Cars,PHEV,2022,Vehicles,44000.0
Israel,Historical,EV stock,Cars,PHEV,2023,Vehicles,60000.0
Israel,Historical,EV stock,Vans,PHEV,2023,Vehicles,20.0
Israel,Historical,EV stock,Buses,FCEV,2010,Vehicles,3.0
Israel,Historical,EV stock,Cars,BEV,2010,Vehicles,6.0
Israel,Historical,EV stock,Cars,BEV,2011,Vehicles,85.0
Israel,Historical,EV stock,Cars,BEV,2012,Vehicles,610.0
Israel,Historical,EV stock,Cars,BEV,2013,Vehicles,1000.0
Israel,Historical,EV stock,Cars,BEV,2014,Vehicles,1200.0
Israel,Historical,EV stock,Cars,BEV,2015,Vehicles,1200.0
Israel,Historical,EV stock,Cars,BEV,2016,Vehicles,1200.0
Israel,Historical,EV stock,Buses,BEV,2016,Vehicles,5.0
Israel,Historical,EV stock,Buses,BEV,2017,Vehicles,45.0
Israel,Historical,EV stock,Cars,BEV,2017,Vehicles,1400.0
Israel,Historical,EV stock,Cars,BEV,2018,Vehicles,1500.0
Israel,Historical,EV stock,Buses,BEV,2018,Vehicles,78.0
Israel,Historical,EV stock,Buses,BEV,2019,Vehicles,94.0
Israel,Historical,EV stock,Cars,BEV,2019,Vehicles,2200.0
Israel,Historical,EV stock,Vans,BEV,2020,Vehicles,2.0
Israel,Historical,EV stock,Cars,BEV,2020,Vehicles,3800.0
Israel,Historical,EV stock,Buses,BEV,2020,Vehicles,120.0
Israel,Historical,EV stock,Cars,BEV,2021,Vehicles,15000.0
Israel,Historical,EV stock,Vans,BEV,2021,Vehicles,26.0
Israel,Historical,EV stock,Buses,BEV,2021,Vehicles,150.0
Israel,Historical,EV stock,Buses,BEV,2022,Vehicles,620.0
Israel,Historical,EV stock,Vans,BEV,2022,Vehicles,120.0
Israel,Historical,EV stock,Cars,BEV,2022,Vehicles,44000.0
Israel,Historical,EV stock,Cars,BEV,2023,Vehicles,91000.0
Israel,Historical,EV stock,Vans,BEV,2023,Vehicles,300.0
Israel,Historical,EV stock,Buses,BEV,2023,Vehicles,1100.0
