region,category,parameter,mode,powertrain,year,unit,value
Japan,Historical,EV stock,Cars,PHEV,2011,Vehicles,15.0
Japan,Historical,EV stock,Cars,PHEV,2012,Vehicles,11000.0
Japan,Historical,EV stock,Cars,PHEV,2013,Vehicles,25000.0
Japan,Historical,EV stock,Cars,PHEV,2014,Vehicles,41000.0
Japan,Historical,EV stock,Cars,PHEV,2015,Vehicles,55000.0
Japan,Historical,EV stock,Cars,PHEV,2016,Vehicles,65000.0
Japan,Historical,EV stock,Cars,PHEV,2017,Vehicles,100000.0
Japan,Historical,EV stock,Cars,PHEV,2018,Vehicles,120000.0
Japan,Historical,EV stock,Cars,PHEV,2019,Vehicles,140000.0
Japan,Historical,EV stock,Cars,PHEV,2020,Vehicles,160000.0
Japan,Historical,EV stock,Cars,PHEV,2021,Vehicles,180000.0
Japan,Historical,EV stock,Cars,PHEV,2022,Vehicles,200000.0
Japan,Historical,EV stock,Cars,PHEV,2023,Vehicles,250000.0
Japan,Historical,EV stock,Cars,FCEV,2015,Vehicles,400.0
Japan,Historical,EV stock,Cars,FCEV,2016,Vehicles,1400.0
Japan,Historical,EV stock,Cars,FCEV,2017,Vehicles,2300.0
Japan,Historical,EV stock,Cars,FCEV,2018,Vehicles,2900.0
Japan,Historical,EV stock,Cars,FCEV,2019,Vehicles,3600.0
Japan,Historical,EV stock,Buses,FCEV,2020,Vehicles,10.0
Japan,Historical,EV stock,Cars,FCEV,2020,Vehicles,4100.0
Japan,Historical,EV stock,Cars,FCEV,2021,Vehicles,6600.0
Japan,Historical,EV stock,Buses,FCEV,2022,Vehicles,10.0
Japan,Historical,EV stock,Cars,FCEV,2022,Vehicles,7600.0
Japan,Historical,EV stock,Cars,FCEV,2023,Vehicles,7900.0
Japan,Historical,EV stock,Buses,FCEV,2023,Vehicles,100.0
Japan,Historical,EV stock,Cars,BEV,2010,Vehicles,3500.0
Japan,Historical,EV stock,Vans,BEV,2011,Vehicles,850.0
Japan,Historical,EV stock,Cars,BEV,2011,Vehicles,16000.0
Japan,Historical,EV stock,Buses,BEV,2011,Vehicles,2.0
Japan,Historical,EV stock,Buses,BEV,2012,Vehicles,6.0
Japan,Historical,EV stock,Cars,BEV,2012,Vehicles,30000.0
Japan,Historical,EV stock,Vans,BEV,2012,Vehicles,3300.0
Japan,Historical,EV stock,Vans,BEV,2013,Vehicles,5400.0
Japan,Historical,EV stock,Cars,BEV,2013,Vehicles,44000.0
Japan,Historical,EV stock,Buses,BEV,2013,Vehicles,13.0
Japan,Historical,EV stock,Buses,BEV,2014,Vehicles,19.0
Japan,Historical,EV stock,Cars,BEV,2014,Vehicles,70000.0
Japan,Historical,EV stock,Vans,BEV,2014,Vehicles,6400.0
Japan,Historical,EV stock,Vans,BEV,2015,Vehicles,7300.0
Japan,Historical,EV stock,Cars,BEV,2015,Vehicles,79000.0
Japan,Historical,EV stock,Buses,BEV,2015,Vehicles,21.0
Japan,Historical,EV stock,Buses,BEV,2016,Vehicles,29.0
Japan,Historical,EV stock,Cars,BEV,2016,Vehicles,88000.0
Japan,Historical,EV stock,Vans,BEV,2016,Vehicles,7600.0
Japan,Historical,EV stock,Vans,BEV,2017,Vehicles,7900.0
Japan,Historical,EV stock,Cars,BEV,2017,Vehicles,100000.0
Japan,Historical,EV stock,Buses,BEV,2017,Vehicles,29.0
Japan,Historical,EV stock,Buses,BEV,2018,Vehicles,39.0
Japan,Historical,EV stock,Trucks,BEV,2018,Vehicles,5.0
Japan,Historical,EV stock,Cars,BEV,2018,Vehicles,110000.0
Japan,Historical,EV stock,Vans,BEV,2018,Vehicles,8200.0
Japan,Historical,EV stock,Vans,BEV,2019,Vehicles,8700.0
Japan,Historical,EV stock,Cars,BEV,2019,Vehicles,120000.0
Japan,Historical,EV stock,Trucks,BEV,2019,Vehicles,55.0
Japan,Historical,EV stock,Buses,BEV,2019,Vehicles,47.0
Japan,Historical,EV stock,Buses,BEV,2020,Vehicles,57.0
Japan,Historical,EV stock,Trucks,BEV,2020,Vehicles,55.0
Japan,Historical,EV stock,Cars,BEV,2020,Vehicles,140000.0
Japan,Historical,EV stock,Vans,BEV,2020,Vehicles,10000.0
Japan,Historical,EV stock,Vans,BEV,2021,Vehicles,11000.0
Japan,Historical,EV stock,Cars,BEV,2021,Vehicles,160000.0
Japan,Historical,EV stock,Trucks,BEV,2021,Vehicles,55.0
Japan,Historical,EV stock,Buses,BEV,2021,Vehicles,57.0
Japan,Historical,EV stock,Buses,BEV,2022,Vehicles,77.0
Japan,Historical,EV stock,Trucks,BEV,2022,Vehicles,55.0
Japan,Historical,EV stock,Cars,BEV,2022,Vehicles,210000.0
Japan,Historical,EV stock,Vans,BEV,2022,Vehicles,39000.0
Japan,Historical,EV stock,Vans,BEV,2023,Vehicles,15000.0
Japan,Historical,EV stock,Cars,BEV,2023,Vehicles,290000.0
Japan,Historical,EV stock,Trucks,BEV,2023,Vehicles,150.0
Japan,Historical,EV stock,Buses,BEV,2023,Vehicles,170.0
