region,category,parameter,mode,powertrain,year,unit,value
Netherlands,Historical,EV stock,Cars,PHEV,2010,Vehicles,11.0
Netherlands,Historical,EV stock,Cars,PHEV,2011,Vehicles,26.0
Netherlands,Historical,EV stock,Cars,PHEV,2012,Vehicles,4400.0
Netherlands,Historical,EV stock,Cars,PHEV,2013,Vehicles,24000.0
Netherlands,Historical,EV stock,Cars,PHEV,2014,Vehicles,37000.0
Netherlands,Historical,EV stock,Buses,PHEV,2015,Vehicles,12.0
Netherlands,Historical,EV stock,Vans,PHEV,2015,Vehicles,2.0
Netherlands,Historical,EV stock,Cars,PHEV,2015,Vehicles,79000.0
Netherlands,Historical,EV stock,Trucks,PHEV,2015,Vehicles,36.0
Netherlands,Historical,EV stock,Trucks,PHEV,2016,Vehicles,39.0
Netherlands,Historical,EV stock,Cars,PHEV,2016,Vehicles,99000.0
Netherlands,Historical,EV stock,Vans,PHEV,2016,Vehicles,2.0
Netherlands,Historical,EV stock,Buses,PHEV,2016,Vehicles,13.0
Netherlands,Historical,EV stock,Buses,PHEV,2017,Vehicles,13.0
Netherlands,Historical,EV stock,Vans,PHEV,2017,Vehicles,2.0
Netherlands,Historical,EV stock,Cars,PHEV,2017,Vehicles,97000.0
Netherlands,Historical,EV stock,Trucks,PHEV,2017,Vehicles,42.0
Netherlands,Historical,EV stock,Trucks,PHEV,2018,Vehicles,46.0
Netherlands,Historical,EV stock,Cars,PHEV,2018,Vehicles,95000.0
Netherlands,Historical,EV stock,Vans,PHEV,2018,Vehicles,3.0
Netherlands,Historical,EV stock,Buses,PHEV,2018,Vehicles,13.0
Netherlands,Historical,EV stock,Buses,PHEV,2019,Vehicles,110.0
Netherlands,Historical,EV stock,Vans,PHEV,2019,Vehicles,3.0
Netherlands,Historical,EV stock,Cars,PHEV,2019,Vehicles,92000.0
Netherlands,Historical,EV stock,Trucks,PHEV,2019,Vehicles,47.0
Netherlands,Historical,EV stock,Trucks,PHEV,2020,Vehicles,41.0
Netherlands,Historical,EV stock,Cars,PHEV,2020,Vehicles,98000.0
Netherlands,Historical,EV stock,Vans,PHEV,2020,Vehicles,30.0
Netherlands,Historical,EV stock,Buses,PHEV,2020,Vehicles,99.0
Netherlands,Historical,EV stock,Buses,PHEV,2021,Vehicles,99.0
Netherlands,Historical,EV stock,Vans,PHEV,2021,Vehicles,78.0
