region,category,parameter,mode,powertrain,year,unit,value
Spain,Historical,EV stock,Cars,PHEV,2011,Vehicles,8.0
Spain,Historical,EV stock,Cars,PHEV,2012,Vehicles,120.0
Spain,Historical,EV stock,Cars,PHEV,2013,Vehicles,190.0
Spain,Historical,EV stock,Cars,PHEV,2014,Vehicles,520.0
Spain,Historical,EV stock,Cars,PHEV,2015,Vehicles,1300.0
Spain,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0
Spain,Historical,EV stock,Buses,PHEV,2017,Vehicles,42.0
Spain,Historical,EV stock,Cars,PHEV,2017,Vehicles,6300.0
Spain,Historical,EV stock,Cars,PHEV,2018,Vehicles,12000.0
Spain,Historical,EV stock,Buses,PHEV,2018,Vehicles,50.0
Spain,Historical,EV stock,Vans,PHEV,2019,Vehicles,8.0
Spain,Historical,EV stock,Buses,PHEV,2019,Vehicles,56.0
Spain,Historical,EV stock,Cars,PHEV,2019,Vehicles,19000.0
Spain,Historical,EV stock,Cars,PHEV,2020,Vehicles,43000.0
Spain,Historical,EV stock,Buses,PHEV,2020,Vehicles,63.0
Spain,Historical,EV stock,Vans,PHEV,2020,Vehicles,8.0
Spain,Historical,EV stock,Vans,PHEV,2021,Vehicles,46.0
Spain,Historical,EV stock,Buses,PHEV,2021,Vehicles,100.0
Spain,Historical,EV stock,Cars,PHEV,2021,Vehicles,86000.0
Spain,Historical,EV stock,Cars,PHEV,2022,Vehicles,130000.0
Spain,Historical,EV stock,Buses,PHEV,2022,Vehicles,100.0
Spain,Historical,EV stock,Vans,PHEV,2022,Vehicles,200.0
Spain,Historical,EV stock,Vans,PHEV,2023,Vehicles,210.0
Spain,Historical,EV stock,Buses,PHEV,2023,Vehicles,72.0
Spain,Historical,EV stock,Cars,PHEV,2023,Vehicles,200000.0
Spain,Historical,EV stock,Cars,FCEV,2018,Vehicles,1.0
Spain,Historical,EV stock,Cars,FCEV,2019,Vehicles,2.0
Spain,Historical,EV stock,Cars,FCEV,2020,Vehicles,9.0
Spain,Historical,EV stock,Cars,FCEV,2021,Vehicles,19.0
Spain,Historical,EV stock,Cars,FCEV,2022,Vehicles,23.0
Spain,Historical,EV stock,Buses,FCEV,2022,Vehicles,6.0
Spain,Historical,EV stock,Buses,FCEV,2023,Vehicles,19.0
Spain,Historical,EV stock,Cars,FCEV,2023,Vehicles,27.0
Spain,Historical,EV stock,Cars,BEV,2010,Vehicles,76.0
Spain,Historical,EV stock,Cars,BEV,2011,Vehicles,460.0
Spain,Historical,EV stock,Cars,BEV,2012,Vehicles,890.0
Spain,Historical,EV stock,Cars,BEV,2013,Vehicles,1700.0
Spain,Historical,EV stock,Cars,BEV,2014,Vehicles,3100.0
Spain,Historical,EV stock,Vans,BEV,2015,Vehicles,1100.0
Spain,Historical,EV stock,Cars,BEV,2015,Vehicles,4400.0
Spain,Historical,EV stock,Cars,BEV,2016,Vehicles,6500.0
Spain,Historical,EV stock,Vans,BEV,2016,Vehicles,2100.0
Spain,Historical,EV stock,Vans,BEV,2017,Vehicles,3000.0
Spain,Historical,EV stock,Buses,BEV,2017,Vehicles,100.0
Spain,Historical,EV stock,Cars,BEV,2017,Vehicles,10000.0
Spain,Historical,EV stock,Cars,BEV,2018,Vehicles,16000.0
Spain,Historical,EV stock,Buses,BEV,2018,Vehicles,130.0
Spain,Historical,EV stock,Vans,BEV,2018,Vehicles,4800.0
Spain,Historical,EV stock,Vans,BEV,2019,Vehicles,6300.0
Spain,Historical,EV stock,Buses,BEV,2019,Vehicles,240.0
Spain,Historical,EV stock,Trucks,BEV,2019,Vehicles,5.0
Spain,Historical,EV stock,Cars,BEV,2019,Vehicles,26000.0
Spain,Historical,EV stock,Cars,BEV,2020,Vehicles,45000.0
Spain,Historical,EV stock,Trucks,BEV,2020,Vehicles,13.0
Spain,Historical,EV stock,Buses,BEV,2020,Vehicles,240.0
Spain,Historical,EV stock,Vans,BEV,2020,Vehicles,7900.0
Spain,Historical,EV stock,Vans,BEV,2021,Vehicles,10000.0
Spain,Historical,EV stock,Buses,BEV,2021,Vehicles,350.0
Spain,Historical,EV stock,Trucks,BEV,2021,Vehicles,29.0
Spain,Historical,EV stock,Cars,BEV,2021,Vehicles,69000.0
Spain,Historical,EV stock,Cars,BEV,2022,Vehicles,96000.0
Spain,Historical,EV stock,Trucks,BEV,2022,Vehicles,200.0
Spain,Historical,EV stock,Buses,BEV,2022,Vehicles,610.0
Spain,Historical,EV stock,Vans,BEV,2022,Vehicles,14000.0
Spain,Historical,EV stock,Vans,BEV,2023,Vehicles,24000.0
Spain,Historical,EV stock,Buses,BEV,2023,Vehicles,1200.0
Spain,Historical,EV stock,Trucks,BEV,2023,Vehicles,700.0
Spain,Historical,EV stock,Cars,BEV,2023,Vehicles,160000.0
