region,category,parameter,mode,powertrain,year,unit,value
Sweden,Historical,EV stock,Cars,PHEV,2012,Vehicles,650.0
Sweden,Historical,EV stock,Cars,PHEV,2013,Vehicles,1600.0
Sweden,Historical,EV stock,Cars,PHEV,2014,Vehicles,4900.0
Sweden,Historical,EV stock,Cars,PHEV,2015,Vehicles,9800.0
Sweden,Historical,EV stock,Vans,PHEV,2015,Vehicles,7.0
Sweden,Historical,EV stock,Buses,PHEV,2015,Vehicles,5.0
Sweden,Historical,EV stock,Buses,PHEV,2016,Vehicles,22.0
Sweden,Historical,EV stock,Vans,PHEV,2016,Vehicles,7.0
Sweden,Historical,EV stock,Cars,PHEV,2016,Vehicles,19000.0
Sweden,Historical,EV stock,Cars,PHEV,2017,Vehicles,32000.0
Sweden,Historical,EV stock,Vans,PHEV,2017,Vehicles,7.0
Sweden,Historical,EV stock,Buses,PHEV,2017,Vehicles,32.0
Sweden,Historical,EV stock,Buses,PHEV,2018,Vehicles,93.0
Sweden,Historical,EV stock,Vans,PHEV,2018,Vehicles,16.0
Sweden,Historical,EV stock,Cars,PHEV,2018,Vehicles,49000.0
Sweden,Historical,EV stock,Cars,PHEV,2019,Vehicles,67000.0
Sweden,Historical,EV stock,Vans,PHEV,2019,Vehicles,4.0
Sweden,Historical,EV stock,Buses,PHEV,2019,Vehicles,93.0
Sweden,Historical,EV stock,Buses,PHEV,2020,Vehicles,93.0
Sweden,Historical,EV stock,Vans,PHEV,2020,Vehicles,880.0
Sweden,Historical,EV stock,Cars,PHEV,2020,Vehicles,120000.0
Sweden,Historical,EV stock,Cars,PHEV,2021,Vehicles,190000.0
Sweden,Historical,EV stock,Vans,PHEV,2021,Vehicles,160.0
Sweden,Historical,EV stock,Buses,PHEV,2021,Vehicles,93.0
Sweden,Historical,EV stock,Buses,PHEV,2022,Vehicles,93.0
Sweden,Historical,EV stock,Vans,PHEV,2022,Vehicles,420.0
Sweden,Historical,EV stock,Trucks,PHEV,2022,Vehicles,8.0
Sweden,Historical,EV stock,Cars,PHEV,2022,Vehicles,240000.0
Sweden,Historical,EV stock,Cars,PHEV,2023,Vehicles,270000.0
Sweden,Historical,EV stock,Trucks,PHEV,2023,Vehicles,7.0
Sweden,Historical,EV stock,Vans,PHEV,2023,Vehicles,430.0
Sweden,Historical,EV stock,Buses,PHEV,2023,Vehicles,22.0
Sweden,Historical,EV stock,Cars,FCEV,2013,Vehicles,3.0
Sweden,Historical,EV stock,Cars,FCEV,2014,Vehicles,3.0
Sweden,Historical,EV stock,Cars,FCEV,2015,Vehicles,4.0
Sweden,Historical,EV stock,Cars,FCEV,2016,Vehicles,7.0
Sweden,Historical,EV stock,Cars,FCEV,2017,Vehicles,21.0
Sweden,Historical,EV stock,Cars,FCEV,2018,Vehicles,21.0
Sweden,Historical,EV stock,Cars,FCEV,2019,Vehicles,42.0
Sweden,Historical,EV stock,Cars,FCEV,2020,Vehicles,47.0
Sweden,Historical,EV stock,Cars,FCEV,2021,Vehicles,63.0
