region,category,parameter,mode,powertrain,year,unit,value
World,Historical,Electricity demand,Buses,EV,2010,GWh,400.0
World,Historical,Electricity demand,Trucks,EV,2010,GWh,1000.0
World,Historical,Electricity demand,Vans,EV,2010,GWh,84.0
World,Historical,Electricity demand,Cars,EV,2010,GWh,440.0
World,Historical,Electricity demand,Buses,EV,2011,GWh,320.0
World,Historical,Electricity demand,Trucks,EV,2011,GWh,170.0
World,Historical,Electricity demand,Vans,EV,2011,GWh,85.0
World,Historical,Electricity demand,Cars,EV,2011,GWh,1600.0
World,Historical,Electricity demand,Buses,EV,2012,GWh,450.0
World,Historical,Electricity demand,Trucks,EV,2012,GWh,79.0
World,Historical,Electricity demand,Vans,EV,2012,GWh,190.0
World,Historical,Electricity demand,Cars,EV,2012,GWh,1800.0
World,Historical,Electricity demand,Buses,EV,2013,GWh,500.0
World,Historical,Electricity demand,Trucks,EV,2013,GWh,60.0
World,Historical,Electricity demand,Vans,EV,2013,GWh,250.0
World,Historical,Electricity demand,Cars,EV,2013,GWh,2600.0
World,Historical,Electricity demand,Cars,EV,2014,GWh,3400.0
World,Historical,Electricity demand,Buses,EV,2014,GWh,770.0
World,Historical,Electricity demand,Trucks,EV,2014,GWh,44.0
World,Historical,Electricity demand,Vans,EV,2014,GWh,600.0
World,Historical,Electricity demand,Buses,EV,2015,GWh,3700.0
World,Historical,Electricity demand,Trucks,EV,2015,GWh,960.0
World,Historical,Electricity demand,Vans,EV,2015,GWh,860.0
World,Historical,Electricity demand,Cars,EV,2015,GWh,5700.0
World,Historical,Electricity demand,Buses,EV,2016,GWh,6700.0
World,Historical,Electricity demand,Trucks,EV,2016,GWh,2900.0
World,Historical,Electricity demand,Vans,EV,2016,GWh,840.0
World,Historical,Electricity demand,Cars,EV,2016,GWh,8400.0
World,Historical,Electricity demand,Buses,EV,2017,GWh,11000.0
World,Historical,Electricity demand,Trucks,EV,2017,GWh,4200.0
World,Historical,Electricity demand,Vans,EV,2017,GWh,1000.0
World,Historical,Electricity demand,Cars,EV,2017,GWh,10000.0
World,Historical,Electricity demand,Buses,EV,2018,GWh,15000.0
World,Historical,Electricity demand,Trucks,EV,2018,GWh,5500.0
World,Historical,Electricity demand,Vans,EV,2018,GWh,1000.0
World,Historical,Electricity demand,Cars,EV,2018,GWh,15000.0
World,Historical,Electricity demand,Buses,EV,2019,GWh,16000.0
World,Historical,Electricity demand,Trucks,EV,2019,GWh,4900.0
World,Historical,Electricity demand,Vans,EV,2019,GWh,1100.0
World,Historical,Electricity demand,Cars,EV,2019,GWh,19000.0
World,Historical,Electricity demand,Buses,EV,2020,GWh,16000.0
World,Historical,Electricity demand,Trucks,EV,2020,GWh,4500.0
World,Historical,Electricity demand,Vans,EV,2020,GWh,1400.0
World,Historical,Electricity demand,Cars,EV,2020,GWh,21000.0
World,Projection-STEPS,Electricity demand,Buses,EV,2020,GWh,16000.0
World,Projection-STEPS,Electricity demand,Trucks,EV,2020,GWh,4500.0
World,Projection-STEPS,Electricity demand,Vans,EV,2020,GWh,1400.0
World,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,21000.0
World,Projection-APS,Electricity demand,Buses,EV,2020,GWh,16000.0
World,Projection-APS,Electricity demand,Trucks,EV,2020,GWh,4500.0
World,Projection-APS,Electricity demand,Vans,EV,2020,GWh,1400.0
World,Projection-APS,Electricity demand,Cars,EV,2020,GWh,21000.0
World,Projection-APS,Electricity demand,Buses,EV,2021,GWh,17000.0
World,Projection-APS,Electricity demand,Trucks,EV,2021,GWh,4900.0
World,Projection-APS,Electricity demand,Vans,EV,2021,GWh,2200.0
World,Projection-APS,Electricity demand,Cars,EV,2021,GWh,35000.0
World,Historical,Electricity demand,Buses,EV,2021,GWh,17000.0
World,Historical,Electricity demand,Trucks,EV,2021,GWh,4900.0
World,Historical,Electricity demand,Vans,EV,2021,GWh,2200.0
World,Historical,Electricity demand,Cars,EV,2021,GWh,35000.0
World,Projection-STEPS,Electricity demand,Buses,EV,2021,GWh,17000.0
World,Projection-STEPS,Electricity demand,Trucks,EV,2021,GWh,4900.0
World,Projection-STEPS,Electricity demand,Vans,EV,2021,GWh,2200.0
World,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,35000.0
World,Historical,Electricity demand,Buses,EV,2022,GWh,13000.0
World,Historical,Electricity demand,Trucks,EV,2022,GWh,5300.0
World,Projection-APS,Electricity demand,Buses,EV,2022,GWh,13000.0
World,Projection-APS,Electricity demand,Trucks,EV,2022,GWh,5300.0
World,Projection-APS,Electricity demand,Vans,EV,2022,GWh,2900.0
World,Projection-APS,Electricity demand,Cars,EV,2022,GWh,44000.0
World,Historical,Electricity demand,Vans,EV,2022,GWh,2900.0
World,Historical,Electricity demand,Cars,EV,2022,GWh,44000.0
World,Projection-STEPS,Electricity demand,Buses,EV,2022,GWh,13000.0
World,Projection-STEPS,Electricity demand,Trucks,EV,2022,GWh,5300.0
World,Projection-STEPS,Electricity demand,Vans,EV,2022,GWh,2900.0
World,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,44000.0
World,Historical,Electricity demand,Buses,EV,2023,GWh,13000.0
World,Historical,Electricity demand,Trucks,EV,2023,GWh,7600.0
World,Historical,Electricity demand,Vans,EV,2023,GWh,6700.0
World,Historical,Electricity demand,Cars,EV,2023,GWh,97000.0
World,Projection-STEPS,Electricity demand,Buses,EV,2023,GWh,13000.0
World,Projection-STEPS,Electricity demand,Trucks,EV,2023,GWh,7600.0
World,Projection-STEPS,Electricity demand,Vans,EV,2023,GWh,6700.0
World,Projection-STEPS,Electricity demand,Cars,EV,2023,GWh,97000.0
World,Projection-APS,Electricity demand,Buses,EV,2023,GWh,13000.0
World,Projection-APS,Electricity demand,Trucks,EV,2023,GWh,7600.0
World,Projection-APS,Electricity demand,Vans,EV,2023,GWh,6700.0
World,Projection-APS,Electricity demand,Cars,EV,2023,GWh,97000.0
World,Projection-APS,Electricity demand,Buses,EV,2025,GWh,29000.0
World,Projection-APS,Electricity demand,Trucks,EV,2025,GWh,20000.0
World,Projection-APS,Electricity demand,Vans,EV,2025,GWh,16000.0
World,Projection-APS,Electricity demand,Cars,EV,2025,GWh,220000.0
World,Projection-STEPS,Electricity demand,Buses,EV,2025,GWh,27000.0
World,Projection-STEPS,Electricity demand,Trucks,EV,2025,GWh,18000.0
World,Projection-STEPS,Electricity demand,Vans,EV,2025,GWh,15000.0
World,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,220000.0
World,Projection-STEPS,Electricity demand,Buses,EV,2030,GWh,67000.0
World,Projection-STEPS,Electricity demand,Trucks,EV,2030,GWh,130000.0
World,Projection-STEPS,Electricity demand,Vans,EV,2030,GWh,67000.0
World,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,710000.0
World,Projection-APS,Electricity demand,Buses,EV,2030,GWh,88000.0
World,Projection-APS,Electricity demand,Trucks,EV,2030,GWh,160000.0
World,Projection-APS,Electricity demand,Vans,EV,2030,GWh,92000.0
