region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,9.99999974737875e-05
Europe,Historical,Oil displacement Mbd,Trucks,EV,2010,Milion barrels per day,1.80000006366754e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,0.000159999995958
Europe,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,9.99999974737875e-05
Europe,Historical,Oil displacement Mbd,Buses,EV,2011,Milion barrels per day,9.7999996796716e-05
Europe,Historical,Oil displacement Mbd,Trucks,EV,2011,Milion barrels per day,1.80000006366754e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,0.000260000000708
Europe,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.000319999991916
Europe,Historical,Oil displacement Mbd,Buses,EV,2012,Milion barrels per day,9.99999974737875e-05
Europe,Historical,Oil displacement Mbd,Trucks,EV,2012,Milion barrels per day,1.80000006366754e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.000590000010561
Europe,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.000690000015311
Europe,Historical,Oil displacement Mbd,Buses,EV,2013,Milion barrels per day,0.000119999996969
Europe,Historical,Oil displacement Mbd,Trucks,EV,2013,Milion barrels per day,2.09999998332933e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.00089999998454
Europe,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.001399999950081
Europe,Historical,Oil displacement Mbd,Buses,EV,2014,Milion barrels per day,0.000190000006114
Europe,Historical,Oil displacement Mbd,Trucks,EV,2014,Milion barrels per day,2.70000000455184e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.001300000003539
Europe,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.002700000070035
Europe,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,0.000220000001718
Europe,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,2.80000003840541e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.001700000022538
Europe,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.004900000058115
Europe,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,0.00034999998752
Europe,Historical,Oil displacement Mbd,Trucks,EV,2016,Milion barrels per day,4.19999996665865e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.002199999988079
Europe,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.007100000046194
Europe,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,0.000460000010207
Europe,Historical,Oil displacement Mbd,Trucks,EV,2017,Milion barrels per day,5.2999999752501e-05
Europe,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.002799999900162
Europe,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.009999999776483
Europe,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,0.000609999988228
Europe,Historical,Oil displacement Mbd,Trucks,EV,2018,Milion barrels per day,0.000110000000859
Europe,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.003700000001118
Europe,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.014000000432134
Europe,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,0.001000000047497
Europe,Historical,Oil displacement Mbd,Trucks,EV,2019,Milion barrels per day,0.000260000000708
Europe,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.004800000227988
Europe,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.021999999880791
Europe,Historical,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.001399999950081
Europe,Historical,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.000399999989895
Europe,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.005400000140071
Europe,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.032000001519919
Europe,Projection-STEPS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.001399999950081
Europe,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.000399999989895
Europe,Projection-STEPS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.005400000140071
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.032000001519919
Europe,Projection-APS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.001399999950081
Europe,Projection-APS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.000399999989895
Europe,Projection-APS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.005400000140071
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.032000001519919
Europe,Projection-APS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.002300000051036
Europe,Projection-APS,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.000790000020061
Europe,Projection-APS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.008399999700487
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.061999998986721
Europe,Historical,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.002300000051036
Europe,Historical,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.000790000020061
Europe,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.008399999700487
Europe,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.061999998986721
Europe,Projection-STEPS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.002300000051036
Europe,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2021,Milion barrels per day,0.000790000020061
Europe,Projection-STEPS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.008399999700487
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.061999998986721
Europe,Historical,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.003199999919161
Europe,Historical,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.001599999959581
Europe,Historical,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.012000000104308
Europe,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.100000001490116
Europe,Projection-STEPS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.003199999919161
Europe,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.001599999959581
Europe,Projection-STEPS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.012000000104308
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.100000001490116
Europe,Projection-APS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.003199999919161
Europe,Projection-APS,Oil displacement Mbd,Trucks,EV,2022,Milion barrels per day,0.001599999959581
Europe,Projection-APS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.012000000104308
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.100000001490116
Europe,Projection-APS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.006000000052154
Europe,Projection-APS,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.007000000216067
Europe,Projection-APS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.020999999716878
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.170000001788139
Europe,Historical,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.006000000052154
Europe,Historical,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.007000000216067
Europe,Historical,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.020999999716878
Europe,Historical,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.170000001788139
Europe,Projection-STEPS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.006000000052154
Europe,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2023,Milion barrels per day,0.007000000216067
Europe,Projection-STEPS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.020999999716878
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.170000001788139
Europe,Projection-STEPS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.014000000432134
Europe,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.01799999922514
Europe,Projection-STEPS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.039000000804663
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.319999992847443
Europe,Projection-APS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.014000000432134
Europe,Projection-APS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.017000000923872
Europe,Projection-APS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.039000000804663
Europe,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.310000002384186
Europe,Projection-STEPS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.043999999761582
