region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",5.90000009536743
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2010,"Oil displacement, million lge",1.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2010,"Oil displacement, million lge",9.39999961853027
Europe,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",5.90000009536743
Europe,Historical,"Oil displacement, million lge",Buses,EV,2011,"Oil displacement, million lge",5.69999980926514
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2011,"Oil displacement, million lge",1.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2011,"Oil displacement, million lge",15.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",18.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2012,"Oil displacement, million lge",5.80000019073486
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2012,"Oil displacement, million lge",1.10000002384186
Europe,Historical,"Oil displacement, million lge",Vans,EV,2012,"Oil displacement, million lge",34.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",40.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2013,"Oil displacement, million lge",7.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2013,"Oil displacement, million lge",1.20000004768372
Europe,Historical,"Oil displacement, million lge",Vans,EV,2013,"Oil displacement, million lge",52.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",80.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2014,"Oil displacement, million lge",11.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2014,"Oil displacement, million lge",1.60000002384186
Europe,Historical,"Oil displacement, million lge",Vans,EV,2014,"Oil displacement, million lge",74.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",160.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",13.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",1.60000002384186
Europe,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",98.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",280.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",20.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2016,"Oil displacement, million lge",2.5
Europe,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",130.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",410.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",27.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2017,"Oil displacement, million lge",3.09999990463257
Europe,Historical,"Oil displacement, million lge",Vans,EV,2017,"Oil displacement, million lge",160.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2017,"Oil displacement, million lge",590.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2018,"Oil displacement, million lge",35.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2018,"Oil displacement, million lge",6.59999990463257
Europe,Historical,"Oil displacement, million lge",Vans,EV,2018,"Oil displacement, million lge",210.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2018,"Oil displacement, million lge",830.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2019,"Oil displacement, million lge",60.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2019,"Oil displacement, million lge",15.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2019,"Oil displacement, million lge",280.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2019,"Oil displacement, million lge",1300.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",81.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",23.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",310.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",1900.0
Europe,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",81.0
Europe,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",23.0
Europe,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",310.0
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",1900.0
Europe,Projection-APS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",81.0
Europe,Projection-APS,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",23.0
Europe,Projection-APS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",310.0
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",1900.0
Europe,Projection-APS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",130.0
Europe,Projection-APS,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",46.0
Europe,Projection-APS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",490.0
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",3600.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",130.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",46.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",490.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",3600.0
Europe,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",130.0
Europe,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",46.0
Europe,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",490.0
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",3600.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",180.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",95.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",720.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6000.0
Europe,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",180.0
Europe,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",95.0
Europe,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",720.0
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6000.0
Europe,Projection-APS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",180.0
Europe,Projection-APS,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",95.0
Europe,Projection-APS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",720.0
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6000.0
Europe,Projection-APS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",350.0
Europe,Projection-APS,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",410.0
Europe,Projection-APS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",1200.0
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",10000.0
Europe,Historical,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",350.0
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",410.0
Europe,Historical,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",1200.0
Europe,Historical,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",10000.0
Europe,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",350.0
Europe,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",410.0
Europe,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",1200.0
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",10000.0
Europe,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",790.0
Europe,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",1000.0
Europe,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2025,"Oil displacement, million lge",2300.0
Europe,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",18000.0
Europe,Projection-APS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",830.0
