region,category,parameter,mode,powertrain,year,unit,value
India,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",1.29999995231628
India,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",2.59999990463257
India,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",2.59999990463257
India,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",2.90000009536743
India,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",3.70000004768372
India,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",1.29999995231628
India,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",4.19999980926514
India,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",1.39999997615814
India,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",0.509999990463257
India,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",4.80000019073486
India,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",1.5
India,Historical,"Oil displacement, million lge",Vans,EV,2017,"Oil displacement, million lge",4.09999990463257
India,Historical,"Oil displacement, million lge",Cars,EV,2017,"Oil displacement, million lge",5.80000019073486
India,Historical,"Oil displacement, million lge",Buses,EV,2018,"Oil displacement, million lge",3.90000009536743
India,Historical,"Oil displacement, million lge",Vans,EV,2018,"Oil displacement, million lge",7.90000009536743
India,Historical,"Oil displacement, million lge",Cars,EV,2018,"Oil displacement, million lge",6.59999990463257
India,Historical,"Oil displacement, million lge",Buses,EV,2019,"Oil displacement, million lge",8.80000019073486
India,Historical,"Oil displacement, million lge",Vans,EV,2019,"Oil displacement, million lge",9.10000038146973
India,Historical,"Oil displacement, million lge",Cars,EV,2019,"Oil displacement, million lge",7.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",30.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",9.80000019073486
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8.5
India,Historical,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",30.0
India,Historical,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",9.80000019073486
India,Historical,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8.5
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",30.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",9.80000019073486
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",8.5
India,Historical,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",41.0
India,Historical,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",14.0
India,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",20.0
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",41.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",14.0
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",20.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",41.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",14.0
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",20.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",61.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",15.0
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",72.0
India,Historical,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",61.0
India,Historical,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",15.0
India,Historical,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",72.0
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",61.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",15.0
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",72.0
India,Historical,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",190.0
India,Historical,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",13.0
India,Historical,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",150.0
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",190.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",13.0
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",150.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",190.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",14.0
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",150.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",460.0
India,Projection-APS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",33.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2025,"Oil displacement, million lge",55.0
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",660.0
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",420.0
India,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",19.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2025,"Oil displacement, million lge",47.0
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",580.0
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2030,"Oil displacement, million lge",2200.0
India,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2030,"Oil displacement, million lge",260.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2030,"Oil displacement, million lge",380.0
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",3800.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2030,"Oil displacement, million lge",2200.0
India,Projection-APS,"Oil displacement, million lge",Trucks,EV,2030,"Oil displacement, million lge",330.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2030,"Oil displacement, million lge",820.0
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",5800.0
India,Projection-APS,"Oil displacement, million lge",Buses,EV,2035,"Oil displacement, million lge",5700.0
India,Projection-APS,"Oil displacement, million lge",Trucks,EV,2035,"Oil displacement, million lge",1200.0
India,Projection-APS,"Oil displacement, million lge",Vans,EV,2035,"Oil displacement, million lge",4000.0
India,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",17000.0
India,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2035,"Oil displacement, million lge",5600.0
India,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2035,"Oil displacement, million lge",800.0
India,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2035,"Oil displacement, million lge",1300.0
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",9300.0
