region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",9.39999961853027
USA,Historical,"Oil displacement, million lge",Buses,EV,2011,"Oil displacement, million lge",3.20000004768372
USA,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",37.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2012,"Oil displacement, million lge",2.40000009536743
USA,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",89.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2013,"Oil displacement, million lge",2.20000004768372
USA,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",260.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2014,"Oil displacement, million lge",2.09999990463257
USA,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",490.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",4.09999990463257
USA,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",640.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",10.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",830.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",11.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2017,"Oil displacement, million lge",1100.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2018,"Oil displacement, million lge",19.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2018,"Oil displacement, million lge",1700.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2019,"Oil displacement, million lge",22.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2019,"Oil displacement, million lge",2200.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",25.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2500.0
USA,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",25.0
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2500.0
USA,Projection-APS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",25.0
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2500.0
USA,Projection-APS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",37.0
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",4000.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",37.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",4000.0
USA,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",37.0
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",4000.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",62.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6200.0
USA,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",62.0
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6200.0
USA,Projection-APS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",62.0
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",6200.0
USA,Projection-APS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",63.0
USA,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",9700.0
USA,Historical,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",63.0
USA,Historical,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",9700.0
USA,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",63.0
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",9700.0
USA,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",380.0
USA,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",450.0
USA,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2025,"Oil displacement, million lge",620.0
USA,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",20000.0
USA,Projection-APS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",380.0
USA,Projection-APS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",1000.0
