region,category,parameter,mode,powertrain,year,unit,value
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8900.0
Austria,Historical,EV charging points,EV,Publicly available slow,2022,charging points,13000.0
Austria,Historical,EV charging points,EV,Publicly available slow,2023,charging points,15000.0
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.100000001490116
Austria,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600.0
Austria,Historical,EV charging points,EV,Publicly available fast,2022,charging points,2600.0
Austria,Historical,EV charging points,EV,Publicly available fast,2023,charging points,2500.0
