region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,560.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2700.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6100.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8000.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2022,charging points,23000.0
Belgium,Historical,EV charging points,EV,Publicly available slow,2023,charging points,42000.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,77.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,220.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,240.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,480.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,790.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2022,charging points,1100.0
Belgium,Historical,EV charging points,EV,Publicly available fast,2023,charging points,2000.0
