region,category,parameter,mode,powertrain,year,unit,value
Canada,Historical,EV charging points,EV,Publicly available slow,2012,charging points,720.0
Canada,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200.0
Canada,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2300.0
Canada,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400.0
Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900.0
Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200.0
Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100.0
Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8000.0
Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11000.0
Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000.0
Canada,Historical,EV charging points,EV,Publicly available slow,2022,charging points,17000.0
Canada,Historical,EV charging points,EV,Publicly available slow,2023,charging points,22000.0
Canada,Historical,EV charging points,EV,Publicly available fast,2012,charging points,2.0
Canada,Historical,EV charging points,EV,Publicly available fast,2013,charging points,7.0
Canada,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55.0
Canada,Historical,EV charging points,EV,Publicly available fast,2015,charging points,63.0
Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140.0
Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670.0
Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840.0
Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,980.0
Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2300.0
Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3100.0
Canada,Historical,EV charging points,EV,Publicly available fast,2022,charging points,3900.0
Canada,Historical,EV charging points,EV,Publicly available fast,2023,charging points,4800.0
