region,category,parameter,mode,powertrain,year,unit,value
Chile,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1.0
Chile,Historical,EV charging points,EV,Publicly available slow,2012,charging points,6.0
Chile,Historical,EV charging points,EV,Publicly available slow,2013,charging points,8.0
Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13.0
Chile,Historical,EV charging points,EV,Publicly available slow,2015,charging points,22.0
Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22.0
Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35.0
Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61.0
Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130.0
Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,240.0
Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,360.0
Chile,Historical,EV charging points,EV,Publicly available slow,2022,charging points,440.0
Chile,Historical,EV charging points,EV,Publicly available slow,2023,charging points,740.0
Chile,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1.0
Chile,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4.0
Chile,Historical,EV charging points,EV,Publicly available fast,2013,charging points,5.0
Chile,Historical,EV charging points,EV,Publicly available fast,2014,charging points,5.0
Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5.0
Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5.0
Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6.0
Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8.0
Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42.0
Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,99.0
Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120.0
Chile,Historical,EV charging points,EV,Publicly available fast,2022,charging points,220.0
Chile,Historical,EV charging points,EV,Publicly available fast,2023,charging points,330.0
