region,category,parameter,mode,powertrain,year,unit,value
France,Historical,EV charging points,EV,Publicly available slow,2012,charging points,800.0
France,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1700.0
France,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1700.0
France,Historical,EV charging points,EV,Publicly available slow,2015,charging points,9900.0
France,Historical,EV charging points,EV,Publicly available slow,2016,charging points,19000.0
France,Historical,EV charging points,EV,Publicly available slow,2017,charging points,20000.0
France,Historical,EV charging points,EV,Publicly available slow,2018,charging points,23000.0
France,Historical,EV charging points,EV,Publicly available slow,2019,charging points,28000.0
France,Historical,EV charging points,EV,Publicly available slow,2020,charging points,31000.0
France,Historical,EV charging points,EV,Publicly available slow,2021,charging points,50000.0
France,Historical,EV charging points,EV,Publicly available slow,2022,charging points,74000.0
France,Historical,EV charging points,EV,Publicly available slow,2023,charging points,98000.0
France,Historical,EV charging points,EV,Publicly available fast,2012,charging points,9.0
France,Historical,EV charging points,EV,Publicly available fast,2013,charging points,100.0
France,Historical,EV charging points,EV,Publicly available fast,2014,charging points,110.0
France,Historical,EV charging points,EV,Publicly available fast,2015,charging points,580.0
France,Historical,EV charging points,EV,Publicly available fast,2016,charging points,1000.0
France,Historical,EV charging points,EV,Publicly available fast,2017,charging points,1000.0
France,Historical,EV charging points,EV,Publicly available fast,2018,charging points,1700.0
France,Historical,EV charging points,EV,Publicly available fast,2019,charging points,2000.0
France,Historical,EV charging points,EV,Publicly available fast,2020,charging points,3300.0
France,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4500.0
France,Historical,EV charging points,EV,Publicly available fast,2022,charging points,9700.0
France,Historical,EV charging points,EV,Publicly available fast,2023,charging points,20000.0
